Company Name,Job Name,Job Location,Job Description,Salary,Rating,Company Size,Company Type,Company Sector,Year Founded,Company Industry,Company Revenue
PAIIR Solutions,Data Scientist,"Suffern, NY","SR. DATA SCIENTIST
Here's your rare opportunity to join our client's exciting, fast-growing, and dynamic team in Suffern, NY!
About you:
You have 3++ years of solid expertise in developing market forecasting, analysis and campaign reporting.
You have strong experience in R and Python
Java, Alteryx, VBA, SQL, ETL a plus.
You’re well-spoken, and can verbally communicate well with Fortune 500 clients.
Your Excel skills are wizard level.
You don't need micromanagement and work well in team environments
You appreciate the value of excellent analytical, written and oral communication and make it a priority
You enjoy turning data science puzzles into actionable results
You're ready for a real opportunity to grow with a well-established organization that actually cares about its team, its clients and its technology
About our Client:
The trusted one-stop partner for today’s omnichannel retailers. Utilizing proprietary technology to drive customer conversion they help their clients with actionable solutions. With 22 years in the space, they’ve sustained epic growth Y-O-Y even during the pandemic. Here are just a few of the highlights they want you to know:
They’re committed to technology advancement with a talented and balanced team.
Culture matters and it shows their staff stays for a reason.
Long-standing marquee partnerships with glowing testimonials are their hallmark.
No egos hired or tolerated - they celebrate one another's success and play nice in the sandbox.
Opportunity abounds with a focus on individual growth and career advancement.
Their well-established reputation with its employees and clients happens on purpose.
Strong pay plans, benefits and a 401k.
Transparent and accountable management dedicated to your success - integrity counts!
About your role:
You’ll be helping to lead the team in the day-to-day execution and analytics of direct marketing campaigns.
You’ll use your keen eye for detail to refine, gather and scrub data improving accuracy and analysis.
You’ll deal with ambiguity and ad-hoc requests from other departments, remaining flexible and solution-oriented.
You’ll thrive in the further development of your projects, your growth and the organization.
You'll be attentive to details: prove it by including the word ""listen"" in your application or cover letter.
Compensation:
Comp is DOE
Flexible schedule
Full Medical/Dental
401k
Paid Time Off
Work Remotely
No
Job Type: Full-time
Pay: Up to $125,000.00 per year
Benefits:
401(k)
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Relocation assistance
Vision insurance
Schedule:
8 hour shift
COVID-19 considerations:
Employees are vaccinated.
Application Question(s):
How confident are you in your R, Python or Alteryx skills?
Have you received a COVID19 Vaccine?
Education:
Bachelor's (Preferred)
Work Location: One location",Employer Provided Salary:$125K,-1,-1,,,,,
Cyient,Data Scientist,"Phoenix, AZ","About the Role:
The position creates new footprint for data-driven innovation and value for our customers and prospects while providing analytical capabilities. You would be part of core team that would help design and develop advanced analytics solutions across functional areas as per client requirement/opportunities. Key requirements include an ability to communicate complex quantitative analysis with a lucid, precise, clear and actionable insight. You should be experienced in solving analytical problems using quantitative approaches. You would also invest your time in developing new practices and methodologies using statistical methods, machine learning and predictive models under mentorship from experts across industry.
You will:
Identify and manage the analysis and interpretation of clients' internal and external data to drive decision making.
Query databases and perform statistical, mathematical analysis
Work directly with customer teams to help design and generation of reporting frameworks that provide insight to the performance of clients’ business programs.
Create re-usable implementations of statistical tests and models (R, Python, SAS, SPSS etc.) using the available technologies.
Assist in customer engagement management, project scoping, timeline management, and results documentation to ensure professional relationship management.
You have:
Must have sound understanding of industrial systems particularly in design, manufacturing, test, operations, supply chain, aftermarket and MRO.
Must be strong on learning methods, data analytics, R/Python and Tableau.
Good in algorithm development with programming languages.
Must have strong understanding of statistics and machine learning.
Prior experience in R or Python and data analytics is preferred.
Education:
MS/PhD in Mechanical, Electrical, Computer Science or Aerospace Engineering from an accredited school with focus on Image/Signal processing and Computer Vision
Applicable experience
Cyient_indeed
Salary: From $1.00 per year
Schedule:
Monday to Friday
Work Location:
One location
Company's website:
www.cyient.com
Work Remotely:
Temporarily due to COVID-19
COVID-19 Precaution(s):
Remote interview process
Personal protective equipment provided or required
Plastic shield at work stations
Temperature screenings
Social distancing guidelines in place
Virtual meetings
Sanitizing, disinfecting, or cleaning procedures in place
Work Location: One location",$65K - $129K (Glassdoor est.),3.4,10000+ Employees,Company - Public,Information Technology,1991,Information Technology Support Services,$100 to $500 million (USD)
Mainz Brady Group,Lead Data Scientist,Remote,"One out top Clients is immediately hiring a Lead Data Scientist!!!
Fully Remote W2 Contract to Hire
4+ years of experience in extracting insights from large databases, translating market research into actionable solutions, and presenting findings and recommendations to clients
2+ years of experience in experimental design, AB testing, online experimentation, sampling methods, sample size estimation, significance testing.
High level of independence to develop and own toolkits, pipelines, and dashboards.
Excellent communication skills, particularly on technical topics. Must be able to learn from others and teach others, and to work collaboratively as part of a highly interdependent team.
Job Types: Full-time, Contract
Pay: $65.00 - $75.00 per hour
Schedule:
8 hour shift
Education:
Master's (Preferred)
Experience:
Python: 4 years (Preferred)
SQL: 4 years (Preferred)
Work Location: Remote",Employer Provided Salary:$65 - $75 Per Hour,3.8,201 to 500 Employees,Private Practice / Firm,Human Resources & Staffing,2003,HR Consulting,Unknown / Non-Applicable
BlueFoot Inc.,Senior Data Scientist,Remote,"Role: Senior Data Scientist
Company: BlueFoot Inc.
About the Role:
We have an existing commercial SaaS platform that consists of 3 components: a web application, several 3rd party databases integrated into our backend, and a Natural Language Processing, supervised ML model based on a custom taxonomy.
We are looking to build 2.0 of our platform, with an enhanced supervised deep learning model based on a confluence of data from various data sources (e.g., patent, financial, and market data).
Our Senior Data Scientist would need to integrate new data sources into our backend platform, review existing ML models and create a new supervised NLP deep learning model using the integrated data sources and custom taxonomy to categorize data according to that taxonomy. This could include the creation of new data processing pipelines, and various ML processes including data preparation, feature selection, training, classification, and deployment workflows.
Our Current Stack: AWS to host the infrastructure, including the CICD
Core app: Java (SpringBoot)+ Angular, Python, Kubernetes, EMR, Spark, Elasticsearch, PostgreSQL, Openpyxl, Streamlit, Watchdog, spacy-lookups-data, sklearn, seaborn, nltk, matplotlib, pandas, spacy, SQLAlchemy
Role Responsibilities:
Integrate new data sources into the existing backend, ensuring interoperability and integrity with the current platform flows
Prepare new ML processes and define areas for improvement for existing ML processes
Work in close collaboration with back-end engineers to ensure compatibility of changes
Assist dev team with processing and integrating data analysis
Clearly document processes, methodologies, and tools used
Experience Required:
B.S. in relevant technical degree
2 to 3 years experience working with and building supervised machine learning models; experience with natural language processing is a plus
Proficiency with technical writing and data visualization
Ability to work independently and integrate with other dev teams members
Project management skills, to scope out timeline, methodology, and deliverables for a supervised machine learning model and integration into the platform
Logistics: Geography, Work Status, Etc.
The position is remote. Because of certain clients, BlueFoot prefers a U.S. citizen or green card holder, but is willing to consider someone with a U.S. work permit and proper visa. We are also looking for someone full-time to join us immediately.
Interview Process:
We will conduct 3 rounds of interviews.
First Round: Culture, fit, and background interview with the company founders
Second Round: Technical Interview. This will be a paid, project-based interview to showcase your machine learning capabilities on a small data set with a targeted classification.
Third Round: Panel Interview with the team
How to Apply:
Please provide the following:
Resume
Cover Letter
List of ML libraries that you have familiarity working with
Any links to Git repositories or ML projects that we can review
About the Company:
BlueFoot is the source of truth for patent intelligence. Patents protect revenue and investment in the market. Given that, patent intelligence is not complete UNLESS it integrates financial and market data. We provide SaaS platforms that correlate multiple data sets (patent, financial, and market data) using supervised deep learning, in order to answer fundamental questions related to patent and innovation strategy.
We provide patent intelligence to corporate IP departments and the defense sector. We are expanding to technology transfer, venture capital, and financial institutions.
Job Type: Full-time
Pay: $185,000.00 per year
Benefits:
Dental insurance
Health insurance
Paid time off
Parental leave
Schedule:
8 hour shift
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
Python: 3 years (Preferred)
Work Location: Remote",Employer Provided Salary:$185K,-1,-1,,,,,
KOHLS,"Data Scientist I, **Remote**","Milpitas, CA","Interprets and applies data analytics to provide recommendations to the business.
ACCOUNTABILITIES
Develops and executes statistical and mathematical solutions to business problems
Frame problem, determine intended approach and recommend quantitative methods to develop solution
Use analytical rigor and statistical methods to analyze large amounts of data, culling actionable insights using advanced statistical techniques such as predictive statistical models, customer profiling, segmentation analysis, survey design and analysis and data mining
Design experiments to answer targeted questions
Document projects including business objective, data gathering and processing, leading approaches, final algorithm, detailed set of results and analytical metrics
Develops materials to explain project findings to management
Develops new algorithms and mathematical approaches to understand Kohl's audiences and solves complex business problems such as optimizing product performance, revenue and adoption
Identify and drive continuous improvement of key business metrics in assigned business functional area
Drive adoption and usage of analytical products and models
Think in terms of iterative development, document, and communicate throughout products data science lifecycle
Build and validate models
QUALIFICATIONS
Experience developing custom models based on in-depth understanding of underlying data, data structures, and business problems to ensure analytics deliverables meet stakeholders need
Experience developing state of the art algorithms using machine learning, statistical and optimization methods to power various aspects of highly complex business models
Experience using modern analytics tools and languages such as Python, R, Spark, SQL (BigQuery), etc
Experience proposing rapid experiments to test the effect of new strategies or initiatives, and iterate quickly
REQUIRED
2+ years of progressively complex Data Science or analytics experience
BS in Data Science, Computer Science, Machine Learning, Applied Mathematics, or equivalent quantitative field
Spark, Python, R proficiency
PREFERRED
Masters degree
Retail experience
Supply chain management
Marketing models
Logistics experience",$74K - $138K (Glassdoor est.),3.4,10000+ Employees,Company - Public,Retail & Wholesale,1962,"Department, Clothing & Shoe Stores",$10+ billion (USD)
Indeed,Staff Data Scientist - Recommendations,Remote,"Your Job
The Recommendation Science team builds machine learning models that recommend best-match candidates for jobs posted on Indeed. The team’s mission is to build the world’s best AI matchmaker that can connect all jobs with the right jobseekers. To achieve this, the team leverages rich data on Indeed and works closely with teams in Tokyo, Austin, and Seattle to deliver recommendations. We use various techniques related to information retrieval, ranking, deep learning, and NLP, and our engine powers multiple major Indeed products. Also, we come from diverse backgrounds, spanning many nationalities from Asia, Europe, and the US.

You're someone who wants to see the impact of your work making a difference every day. You understand how to use data to make decisions and how to train others to do so. You find passion in the craft and are constantly seeking improvement and better ways to solve tough problems. You produce the highest quality Machine Learning solutions and lead others to do the same. You have high standards and will take pride in Indeed like we do as well as push us to be better. You have delivered challenging technical solutions at scale. You are equally happy talking about deep learning and statistical inference, as you are brainstorming about practical experimental design and technology career development. You love being in the mix technically while providing leadership to your teams.

As a Staff Data Scientist on the Recommendation Science team, you will:
Build highly scalable and performant recommendation systems and technologies that can identify best matches between millions of jobs and millions of job seekers in real-time
Experiment with POC ML model improvements, scale them to production, and run iterative AB experiments to improve our matching technology
Represent Indeed at major ML conferences like NeurIPS, ICML, and ICLR
Mentor and grow other software engineers, data scientists, and ML engineers across teams
Break down larger ML initiatives into pieces that deliver incremental business value and lead the team to execute on them
Who You Are
We are looking for someone who is passionate about designing and building machine learning systems, loves intellectual challenges, is eager to learn, and wants to work with a variety of technologies to “help people get jobs”.

Requirements:
7+ years of industry experience as a Software Engineer, Data Scientist, or Machine Learning Engineer
Prior success deploying (impactful) Machine Learning solutions to large-scale production systems
Solid knowledge of data structures and algorithms
Strong sense of ownership as a technical and product leader
Excellent communication skills in English, both written and verbal with both technical and business audiences

We get excited about candidates who:
Have the desire to solve difficult problems at the intersection of machine learning, data engineering, and software engineering
Have extensive experience and knowledge with cloud technologies (AWS preferred)
Have search technology experience such as Lucene, Solr and/or Elasticsearch
Have prior success deploying Recommender Systems / Search Ranking / etc. to large-scale production systems
Have an advanced degree (PhD or MS) or prior research experience in the fields of machine learning, statistics, or computer science

Who we are
We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.
Our Mission
As the world’s number 1 job site*, our mission is to help people get jobs. We strive to cultivate an inclusive and accessible workplace where all people feel comfortable being themselves. We're looking to grow our teams with more people who share our enthusiasm for innovation and creating the best experience for job seekers.

(*comScore Total Visits, September 2021)
Salary Range Disclaimer
The base salary range represents the low and high end of the Indeed salary range for this position. Actual salaries will vary depending on factors including but not limited to location, experience, and performance. The range listed is just one component of Indeed's total compensation package for employees. Other rewards may include quarterly bonuses, Restricted Stock Units (RSUs), an open Paid Time Off policy, and many region-specific benefits.
Salary Range Transparency
Seattle 183,000 - 266,000 USD per year
Equal Opportunities and Accommodations Statement
Indeed is deeply committed to building a workplace and global community where inclusion is not only valued, but prioritized. We’re proud to be an equal opportunity employer, seeking to create a welcoming and diverse environment. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, family status, marital status, sexual orientation, national origin, genetics, neuro-diversity, disability, age, or veteran status, or any other non-merit based or legally protected grounds.

Indeed is committed to providing reasonable accommodations to qualified individuals with disabilities in the employment application process. To request an accommodation, please contact Talent Attraction Help at 1-855-567-7767, or by email at TAhelp@indeed.com at least one week in advance of your interview.

Fair Chance Hiring
We value diverse experiences, including those who have had prior contact with the criminal legal system. We are committed to providing individuals with criminal records, including formerly incarcerated individuals, a fair chance at employment.
Our Policies and Benefits
View Indeed's Applicant Privacy and Accessibility Policies - https://www.indeed.com/legal/indeed-jobs
Learn about our global employee perks, programs and benefits - https://benefits.indeed.jobs/

Where legally permitted, Indeed requires all individuals attending or working out of Indeed offices or visiting Indeed clients to be fully vaccinated against COVID-19. For positions that can only be performed at an Indeed office, candidates must be fully vaccinated against COVID-19 and present acceptable proof of vaccination by the date of hire as a condition of employment. For positions that require some in-office work or in-person client meetings, exceptions to these in-office or in-person job requirements may be made at the discretion of the business through June 2022, at which point full vaccination will be required. Indeed will consider requests for reasonable accommodation as required under applicable law. To qualify as being fully vaccinated against COVID-19 there should have been a two week period after receiving the second dose (or any government recommended booster shot) in a 2-dose COVID-19 vaccine series, or a two week period after receiving a single-dose (or any government recommended booster shot) in a single dose COVID-19 vaccine.

Reference ID: 35529",Employer Provided Salary:$183K - $266K,4.4,10000+ Employees,Company - Private,Information Technology,2004,Internet & Web Services,$2 to $5 billion (USD)
Kadence International,Junior Data Scientist,Remote,"Overview
Title: Junior Data Scientist
Salary: 45,000 - 60,000 depending on experience
Desired Start Date:
Location: Remote, able to work on a PST schedule
Role: To work closely with the Data Visualization Analyst on projects related to data science and analytics, with an emphasis on exploring creative ways to infuse data science into current and future client services
Qualifications
2-3 years of data science/analytics or statistics experience
Fluency in a scripting language: preference for Python or R
Strong Excel and Google Sheets skills
Experienced in applying a variety of machine learning models
Comfortable transforming data via Excel and Google Sheets formulas
Experience with statistical analysis tools: SPSS preferred
Comfortable adapting to regular changes and a fast-paced work environment
Solution and service-oriented mindset: will often be tasked with creating myriad data-related solutions for clients and team members
Detail-oriented; naturally curious; internally motivated; eager to learn new tools and techniques; takes initiative to explore creative solutions
Technical Skills
Data Cleaning: experience cleaning data sets of various types and levels of complexity
Data Wrangling: experience manipulating and transforming data into useful formats
Data Science: experience and enthusiasm for exploring varied data sets and applying appropriate data science techniques
Data Visualization: experience creating effective data visualizations, preference for Tableau or Google Data Studio
Statistical Analysis: experience and understanding of foundational concepts and methods for producing sound statistical conclusions
Database Management
Job Type: Full-time
Pay: $45,000.00 - $60,000.00 per year
Benefits:
401(k)
Dental insurance
Flexible schedule
Health insurance
Paid time off
Schedule:
8 hour shift
Monday to Friday
Experience:
Python: 1 year (Preferred)
SQL: 1 year (Preferred)
Data Scientists & Statisticians: 1 year (Preferred)
Work Location: Remote",Employer Provided Salary:$45K - $60K,-1,-1,,,,,
Indeed,Principal Data Scientist - Match Recommendations,Remote,"Your Job
The Match Recommendations team builds machine learning models that recommend best-match jobs to job seekers on Indeed. The team’s mission is to build the world’s best ML matchmaker that can connect all jobseekers with their next job. To achieve this, the team leverages unparalleled rich data and state-of-the-art machine learning systems to deliver the highest quality matches to jobseekers and employers.

As a Principal Data Scientist on the Match Recommendations team, you will:
Build highly scalable and performant recommendation systems and technologies that can identify best matches between millions of jobs and millions of job seekers in real-time
Experiment with POC ML model improvements, scale them to production, and run iterative AB experiments to improve our matching technology
Represent Indeed at major ML conferences like NeurIPS, ICML, and ICLR
Mentor and grow other software engineers and data scientists across teams
Break down larger ML initiatives into pieces that deliver incremental business value and lead the team to execute on them

Who You Are
You're someone who wants to see the impact of your work making a difference every day. You understand how to use data to make decisions and how to train others to do so. You find passion in the craft and are constantly seeking improvement and better ways to solve tough problems. You produce the highest quality Machine Learning solutions and lead others to do the same. You have high standards and will take pride in Indeed like we do as well as push us to be better. You have delivered challenging technical solutions at scale. You are equally happy talking about deep learning and statistical inference, as you are brainstorming about practical experimental design and technology career development. You love being in the mix technically while providing leadership to your teams.

Required Skills
6+ years of industry experience as a Machine Learning Scientist or Engineer, Software Engineer, Data Scientist (or 4+ with a PhD or MS)
Prior success deploying impactful Machine Learning solutions to large-scale production systems
Solid knowledge of data structures and algorithms
Strong sense of ownership as a technical and product leader
Excellent communication skills, both written and verbal with both technical and business audiences

We get excited about candidates who:
Have the desire to solve difficult problems at the intersection of machine learning, data engineering, and software engineering
Have extensive experience and knowledge with ML tools such as Neural Networks, NLP Embeddings, and Recommender Systems using Tensorflow, PyTorch, Sagemaker, Spark, Python
Have prior success deploying Recommender Systems / Search Ranking / etc. to large-scale production systems
Who we are
We are a Product team driven by data, and focused on building the most popular job site on the planet. With product teams in Seattle, San Francisco, Austin, Tokyo, Hyderabad, Singapore and Vancouver, we are changing the way people get jobs all around the world.
Our Mission
As the world’s number 1 job site*, our mission is to help people get jobs. We strive to cultivate an inclusive and accessible workplace where all people feel comfortable being themselves. We're looking to grow our teams with more people who share our enthusiasm for innovation and creating the best experience for job seekers.

(*comScore Total Visits, September 2021)
Salary Range Disclaimer
The base salary range represents the low and high end of the Indeed salary range for this position. Actual salaries will vary depending on factors including but not limited to location, experience, and performance. The range listed is just one component of Indeed's total compensation package for employees. Other rewards may include quarterly bonuses, Restricted Stock Units (RSUs), an open Paid Time Off policy, and many region-specific benefits.
Salary Range Transparency
SF Bay Area 223,000 - 324,000 USD per year
Equal Opportunities and Accommodations Statement
Indeed is deeply committed to building a workplace and global community where inclusion is not only valued, but prioritized. We’re proud to be an equal opportunity employer, seeking to create a welcoming and diverse environment. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, family status, marital status, sexual orientation, national origin, genetics, neuro-diversity, disability, age, or veteran status, or any other non-merit based or legally protected grounds.

Indeed is committed to providing reasonable accommodations to qualified individuals with disabilities in the employment application process. To request an accommodation, please contact Talent Attraction Help at 1-855-567-7767, or by email at TAhelp@indeed.com at least one week in advance of your interview.

Fair Chance Hiring
We value diverse experiences, including those who have had prior contact with the criminal legal system. We are committed to providing individuals with criminal records, including formerly incarcerated individuals, a fair chance at employment.
Our Policies and Benefits
View Indeed's Applicant Privacy and Accessibility Policies - https://www.indeed.com/legal/indeed-jobs
Learn about our global employee perks, programs and benefits - https://benefits.indeed.jobs/

Where legally permitted, Indeed requires all individuals attending or working out of Indeed offices or visiting Indeed clients to be fully vaccinated against COVID-19. For positions that can only be performed at an Indeed office, candidates must be fully vaccinated against COVID-19 and present acceptable proof of vaccination by the date of hire as a condition of employment. Indeed will consider requests for reasonable accommodation as required under applicable law. To qualify as being fully vaccinated against COVID-19 there should have been a two week period after receiving the second dose (or any government recommended booster shot) in a 2-dose COVID-19 vaccine series, or a two week period after receiving a single-dose (or any government recommended booster shot) in a single dose COVID-19 vaccine.

Reference ID: 32958",Employer Provided Salary:$223K - $324K,4.4,10000+ Employees,Company - Private,Information Technology,2004,Internet & Web Services,$2 to $5 billion (USD)
"Nordic Consulting Partners, Inc.",Data Scientist Consultant,Remote,"Who we are
Healthcare organizations are challenged to deliver higher quality care at a lower cost. Our award-winning team provides consulting services focused on strategy, technology, and operations, as well as managed services, that result in a stronger business with better patient outcomes. Ranked as a best place to work by nine publications, Nordic’s culture provides our home office and consultants a supportive environment in healthcare that allows you to make a difference, be happy, and grow your career.
Nordic is seeking a talented Data Scientist Consultant for several consulting/ strategic opportunities! A Nordic consultant is more than just an expert. Our analysts take ownership of their work and the greater success of the organization. You'll need to tackle tough projects to help those organizations succeed. This role work in close collaboration with the Data Science team, and assist the Director of the Data Science department, with clinical data management, analytics and modeling to support on ongoing development and deployment of AI/ML solutions. This position will require the use of a variety of analytical techniques, algorithms and frameworks including NLP, time series analysis/forecasting, and computer vision to contribute to the development and implementation of innovative projects.
Qualifications
Education, Knowledge, Skills and Abilities Required:
Bachelor Degree in Science, Mathematics, Engineering, or Statistics or related quantitative STEM field.
5 + years of experience in analysis, advanced statistical analysis or predictive analytics.
3+ years of hands-on experience data mining and predictive modeling.
Experience working in healthcare environment and familiarity with healthcare data types (e.g., EHR, claims).
Demonstrated understanding of the following Google Cloud based products:
Google Cloud Platform, AppEngine, Cloud Run
BigQuery
Additional products as needed
Familiarity with training, testing and validating models within cloud deployments.
Expertise in cloud-based ML pipeline – scalable development to deployment of complex data science workflows.
Proficiency deploying models in accordance with MLOps best practices.
Extensive experience conducting analyses using Python and R.
Ability to explain to internal and external stakeholders the meaning of data insights and the rationale for a particular analysis as it was performed.
Experience performing the full lifecycle of machine learning model development activities; including data engineering, feature development, validation, implementation/assessment, transitioning to a production environment, and performance maintenance.
Experience with project leadership overseeing a team of technical experts, with a demonstrated ability for time management and mentorship.
Education, Knowledge, Skills and Abilities Preferred:
Advanced Degree in Science, Mathematics, Engineering, or Statistics or related quantitative STEM field.
Experience working with artificial intelligence in healthcare environment.
Experience with time-series analysis, deep learning, NLP, MySQL databases, and with big data tools like Google Cloud ML Engine.
Experience working with Google Vertex AI (formerly AI Platform).
Licenses and Certifications Preferred:
Professional Cloud Architect certification.
Project Management Institute (PMI) certification.
Additional Competencies
Effectively communicates to executive stakeholders and provides advisory support as needed.
Proven ability and desire to learn and apply new software, technologies and techniques.
Exceptional written and verbal communication skills, including a proven ability to effectively communicate ideas and insights to both technical and non-technical teams.
Ability to develops project plans, roadmaps and requirements.
Coordinates and manages project team activities, communicates changes and progress.
Additional certifications a plus!
Experience in Interface Engine Rhapsody
Job Types: Full-time, Contract, Temporary
Pay: $75.00 - $82.00 per hour
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
Application Question(s):
Are you comfortable working W2 hourly?
Experience:
Data mining: 3 years (Preferred)
Healthcare: 1 year (Preferred)
Google Cloud Platform: 1 year (Preferred)
Python/R: 1 year (Preferred)
Work Location: Remote",Employer Provided Salary:$75 - $82 Per Hour,4.2,1001 to 5000 Employees,Company - Private,Healthcare,2010,Health Care Services & Hospitals,$100 to $500 million (USD)
Zillow,"Data Scientist, Customer Engagement Analytics","Seattle, WA","About the team
Zillow Group is currently seeking a Data Scientist to join the Customer Engagement Analytics (CEA) team. On the CEA team, we’re passionate about understanding the customer journey on our platforms through deep analysis and measurement. We relentlessly advocate for a seamless and delightful home shopping experience from dream to reality! The team works closely with the product organization to discover strategic opportunities in areas spanning the search and discovery process, membership and re-engagement, evaluation and curation of potential homes, and personalization for both the Zillow and Trulia brands. Finally, we scale this work by partnering with engineering teams to build and maintain key analytics tools and infrastructure.
About the role
In this role, you will partner closely with product and growth teams to experiment, learn, and deliver new insights into how customers can optimize their unique journeys on Zillow. You will use your knowledge of: customer and product analytics, propensity modeling, causal inference, and/or experimentation. Through this role you will have frequent opportunities to share your analyses and recommendations with colleagues across the organization and see the results of your efforts affect millions of people daily. You will:
Collaborate with Product Managers to develop evidence based approaches to finding gaps in the customer experience, measuring efficacy of particular solutions, and incorporating findings into the next iteration.
Identify hypotheses to improve customer engagement and test them using a variety of experimentation and causal methods
Utilize your knowledge of statistics and analytics including clustering, propensity modeling, and other explanatory and causal inference techniques to gain a clearer picture of customer behavior.
Create compelling data stories and visualizations to influence decision makers.
Here at Zillow - we value the experience and perspective of candidates with non-traditional backgrounds. We encourage you to apply if you have transferable skills or related experiences.
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, the standard pay range for this role is $107,800.00 - $172,200.00 Annually. This range is specific to Colorado and may not be applicable to other locations.
Who you are
You are ready to bring your data and analytics expertise to transform what it means to dream, search, and find a home. You seek to understand the many needs of our customers and advocate for them at every turn. You have an appreciation of the unique challenges posed by a multi-platform and multi-brand experience. Additionally, we expect you to have:
An undergraduate or Master's degree in a quantitative field (e.g. mathematics, finance, statistics, or similar) or confirmed experience within data science and analytics
2+ years of work experience involving quantitative data analysis and complex problem solving
Excellent communication skills with the ability to distill complex issues and detailed analysis into simple, structured frameworks with concrete action plans
Demonstrated experience working with large data sets and applying statistical modeling
Strong proficiency in SQL (e.g. Hive, Presto)
Strong proficiency in Python for data analysis (pandas, numpy) and modeling (scikitlearn, statsmodels, etc)
Experience in sharing insights through data visualization, especially with Tableau
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location.
Get to know us
Zillow is reimagining real estate to make it easier to unlock life’s next chapter.
As the most-visited real estate website in the United States, Zillow® and its affiliates offer customers an on-demand real experience. Millions of people visit Zillow Group sites every month to start their home search, and now they can rely on Zillow to help make it easier to move — and no matter what job you're in, you will play a critical role in making this vision a reality.

Our efforts to streamline the real estate transaction are supported by a deep-rooted culture of innovation, our passion to redefine the employee experience, a fundamental commitment to Equity and Belonging, and world-class benefits. We're also building the workplace of the future, where our employees are less tethered to the office, and have more flexibility in their lives. But don’t just take our word for it. Read recent reviews on Glassdoor and recent recognition from multiple organizations, including: Fortune’s 100 Best Companies to Work For® List 2021, TIME 100 Most Influential Companies list, Bloomberg Gender-Equality Index 2021, Human Rights Campaign (HRC) Corporate Equity Index and HRC’s Best Place to Work for LGBTQ Equality 2021, Fortune Best Workplaces for Millennials 2021, and Fortune Best Workplaces for Women 2021.
Zillow Group is an equal opportunity employer committed to fostering an inclusive, innovative environment with the best employees. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. If you have a disability or special need that requires accommodation, please contact us at RecruitingAccessibility@zillowgroup.com.
Applicants who receive job offers from Zillow Group will be asked to sign a Proprietary Rights Agreement which includes confidentiality, intellectual property assignment, customer and employee non-solicitation, and non-competition provisions. If you are contacted for a role at Zillow Group and wish to review a copy of the Proprietary Rights Agreement prior to receiving an offer, you may request a copy from your Recruiter.
See what information we collect about you.",Employer Provided Salary:$108K - $172K,3.8,5001 to 10000 Employees,Company - Public,Real Estate,2005,Real Estate,$1 to $2 billion (USD)
