Company Name,Job Name,Job Location,Job Description,Salary,Rating,Company Size,Company Type,Company Sector,Year Founded,Company Industry,Company Revenue
Innovative Precision Health,Senior Data Scientist,Remote,"Job Responsibilities:
Project Delivery (70 - 85%)
Consult clients to define and refine business objectives towards data-driven decision problems
Research internal & external tools & methodologies to develop AIML solution concepts for client problem briefs..
Work with client & IPH team to rapidly prototype innovative AIML solutions including: data & requirements gathering, technological scoping and architecture, code implementation, insights delivery and recommendations.
Work with cross-functional client & IPH team to scale AIML solutions to production systems.
Strong communication skills to effectively translate complex analytical models into recommendations for business partners.
Mentoring junior Data Scientists on technical skills & career progression.
Building & teaching an AIML skill specialization for the Healthcare practice.
Gathering project learnings and developing them into repeatable / reusable assets & IP for the AIML & Healthcare team
Supporting AIML team growth through interviewing, networking, and industry representation.
Requirements:
Strong programing skills in at least one numerical computing language: R/Python.
Strong experience in building Machine learning (ML) models and experience in deploying solutions in big data production systems on cloud.
Working understanding in areas of machine learning methods and traditional statistical analysis, Bayesian modeling, traditional ML, Deep Learning, RL and optimization
Working knowledge of coding best practices – version control, code linting, unit testing, etc.
Working knowledge of AWS Cloud environments.
Ability to understand and work with large disparate data sets and transform the information into clear insights for the business.
Intellectual agility & stamina – ability to learn adjacent technical skills quickly and continuously, ability to give and use constructive feedback effectively.
Scientific temperament – ability to research, build & verify hypotheses / mental models about technical & organizational problems that need to be solved.
Experience in efficiently deploying AI/ML solutions in big data production systems on premise or AWS Cloud with consideration of resource utilization and costs
Experience with API infrastructure design, automated data processing and aggregation
Ability to design and manage noSQL data architecture according to business needs
Experience & Education:
5 or more years of demonstrated experience in driving real-world value by solving problems requiring complex quantitative reasoning using data & modeling techniques.
Graduate/under-graduate degree in any of the quantitatively rich disciplines such as Computer Science / Mathematics / Physics / Operations Research
Mandatory Skills:
AWS,
Machine Learning,
Neural Network,
SQL, Python, Linux OS
Deep Learning Traditional Statistical analysis,
Bayesian modeling
Job Type: Full-time
Pay: From $150,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
Python: 1 year (Preferred)
SQL: 1 year (Preferred)
Linux OS: 1 year (Preferred)
Work Location: Remote",Employer Provided Salary:$150K,3.2,-1,Unknown / Non-Applicable,,Company - Private,,
SparkCognition Government Systems (SGS),Data Scientist III,"Austin, TX","SparkCognition Government Systems (SGS) is the first full-spectrum artificial intelligence (AI) company devoted entirely to the government and national defense mission. By developing and operationalizing next-generation AI-powered solutions, SGS enables government organizations to meet the needs of their most pressing national security missions. Using technologies built in the United States, SGS advances government operations by analyzing complex data to inform and accelerate intelligent decisions, applying predictive and prescriptive analytics to improve logistics and readiness, deploying autonomy technology for unmanned systems, using natural language processing for large scale processing of unstructured data, and more.
Join us in:
Applying data mining techniques, doing statistical analysis, and building high quality prediction systems.
Selecting features, building, and optimizing classifiers using machine learning techniques
Processing, cleansing, and verifying the integrity of data used for analysis
Creating automated anomaly detection systems and constant tracking of its performance
You'll have:
Strong understanding of machine learning algorithms & principles (regression analysis, time series, probabilistic models, supervised classification, and unsupervised learning), and their application.
Excellent programming skills in Python is mandatory.
Applied experience with Deep Learning algorithms such as Convolutional Neural Networks, Recurrent Neural Networks, and LSTM.
Familiarity with Deep Learning frameworks such as TensorFlow and PyTorch, and strong experience in at least one of those.
2+ years of experience in AWS or Azure
It would be great if you had:
MS or Ph.D. in Computer Science, Electrical Engineering, Statistics, or equivalent fields. Specialization in machine learning preferred.
Experience in renewable energy or IoT time series data
Exposure to scalable machine learning model deployment and MLops

SparkCognition Government Systems (SGS), Inc., is an equal opportunity employer, dedicated to diversity, equality, and inclusion, and provides equal employment opportunities to all employees and applicants for employment. SGS prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws.
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor's legal duty to furnish information. 41 CFR 60-1.35(c)",$82K - $131K (Glassdoor est.),-1,-1,Unknown / Non-Applicable,,Company - Public,,
Hyphen,Principal Data Scientist,Remote,"The Hyphen team is looking for a Principal Data Scientist to join our team.
Our Principal Data Scientist will regularly interface with the company founders to identify, explore, and execute on strategic vision. As the Principal Data Scientist on the team, you’ll utilize your statistical background and modeling experience, as well as Python/R programming skills, to support the business’s strategic objectives.
The ideal candidate is a motivated self-starter who loves to learn, gets excited about statistics and model development, and is able to leverage their programming experience to have an immediate impact on the business. If this describes you, please keep reading!
POSITION OVERVIEW:
Reporting to the Chief Technology Officer, the Principal Data Scientist will:
Leverage technology to solve problems wherever possible.
Assist in the management of data flow/security in a cloud based environment.
Collaborate in early development stages to prepare for Data Science needs down the road.
Solve for internal/external data visualization - feeding stakeholders easily digested analysis by understanding how to tell a story with the data.
Implement automation to mitigate human resources required to develop, train, and deploy models.
Champion the need for all departments to rely on/utilize data insights for decisioning.
Roles & Responsibilities include:
Developing processes for, and executing on, model development, deployment, and management.
Creating the methods, processes, and systems to clean, consolidate, and analyze unstructured, diverse data sources.
Providing digital solutions and expertise for new and innovative approaches to problems and methodologies in data analysis.
Presenting data and analysis in a clear and concise manner allowing the audience to quickly understand the results and recommendations to allow them to make informed, data-driven decisions.
You will work in partnership with other senior members of Development, Operations, and Executive teams to ensure the accuracy and integrity of data sources, reports, and analysis for our clients, prospects, team members, and partners.
REQUIRED QUALIFICATIONS:
5+ years of professional data science experience (excluding internships)
Fluency in SQL and Statistical Programming using R or Python
4+ years Predictive Modeling / Predictive Analytics / Machine learning Experience
4+ years Data Extraction / Data Mining, Quantitative Analysis, and/or Statistical Modeling experience
3+ years of developing statistics-based analytics reports
3+ years of Statistical Programming and Applied Programming work experience
Bachelor’s degree in a quantitative field, i.e. Computer Science, Statistics, Mathematics, etc., or equivalent experience
Legally authorized to work in the United States without sponsorship, now or in the future
Ability to effectively communicate and interact with all levels of the company, clearly expressing ideas and concepts, in writing and verbally
Ability to carry out guided and self-guided research and innovation
Ability to leverage new analytical techniques
Excellent analytical thinking, technical analysis, and data manipulation skills
Highly effective working in a team, as well as working independently
Motivated and organized self-starter with strong attention to detail, excellent decision making skills, and the ability to manage multiple priorities
ADDITIONAL PREFERRED REQUIREMENTS:
Experience in the financial industry
Advanced degree in statistics, mathematics, engineering, computer science, or data science
Job Type: Full-time
Pay: $130,000.00 - $180,000.00 per year
Schedule:
Monday to Friday
Application Question(s):
Do you have experience in the financial services / lending space?
Work Location: Remote",Employer Provided Salary:$130K - $180K,-1,-1,,,,,
"Interactive Consulting Services, Inc",Lead Data Scientist,Remote,"Interactive Consulting Services, Inc.'s (ICS) mission is to match elite talent with cutting-edge technologies and projects.
Interactive Consulting Services (ICS) is headquartered in Jarrettsville, MD, and has been providing IT and talent services for over 20 years. ICS has a proven track record in both the public and private sectors, providing talent and solutions in fields ranging from healthcare, education, and finance, to social services, defense, and aviation.
Responsibilities:
· Planning data projects
· Experiment with new models and techniques
· Building analytic systems and predictive models
· Managing a team of data scientists, machine learning engineers and big data specialists
· Lead data mining and collection procedures
· Ensure data quality and integrity
· Interpret and analyze data problems
· Conceive, plan and prioritize data projects
· Visualize data and create reports
· Align data projects with organizational goals
Description:
We are searching for a Lead Data Scientist to lead a team of data analysts to help us analyze and interpret large quantities of medical records using the latest cutting-edge technologies. This is a long-term project for a major federal agency. To be successful in this position, you should have strong problem-solving skills and an expert understanding of statistical analysis. You should also enjoy researching and implementing the latest data science algorithms and tools. If you understand how to apply data analytics to solve new business problems, and enjoy mentoring team members, we’d love to meet you!
Requirements:
· Proven experience as a Data Scientist or similar role
· Solid understanding of machine learning tools and algorithms
· Knowledge of data management and visualization techniques
· Strong knowledge of Python, R, and SageMaker
· Experience with SQL and NoSQL databases (MongoDB is a plus)
· Strong organizational and leadership skills
· Excellent communication skills
· A business-first mindset
· MS in Computer Science, Data Science, Mathematics or similar field
Hours:
Must be able to work US East Coast Hours
Work Authorization:
US Citizen, Green Card, H1-B Visa
Background Check/Public Trust Clearance:
Active clearance is NOT required but candidate must be able to obtain and maintain a US Public Trust clearance
Job Type: Full-time
Pay: $150,000.00 - $250,000.00 per year
Schedule:
8 hour shift
Monday to Friday
Education:
Master's (Preferred)
Experience:
Python: 1 year (Preferred)
Work Location: Remote",Employer Provided Salary:$150K - $250K,-1,-1,,,,,
Cyient,Data Scientist,"Phoenix, AZ","About the Role:
The position creates new footprint for data-driven innovation and value for our customers and prospects while providing analytical capabilities. You would be part of core team that would help design and develop advanced analytics solutions across functional areas as per client requirement/opportunities. Key requirements include an ability to communicate complex quantitative analysis with a lucid, precise, clear and actionable insight. You should be experienced in solving analytical problems using quantitative approaches. You would also invest your time in developing new practices and methodologies using statistical methods, machine learning and predictive models under mentorship from experts across industry.
You will:
Identify and manage the analysis and interpretation of clients' internal and external data to drive decision making.
Query databases and perform statistical, mathematical analysis
Work directly with customer teams to help design and generation of reporting frameworks that provide insight to the performance of clients’ business programs.
Create re-usable implementations of statistical tests and models (R, Python, SAS, SPSS etc.) using the available technologies.
Assist in customer engagement management, project scoping, timeline management, and results documentation to ensure professional relationship management.
You have:
Must have sound understanding of industrial systems particularly in design, manufacturing, test, operations, supply chain, aftermarket and MRO.
Must be strong on learning methods, data analytics, R/Python and Tableau.
Good in algorithm development with programming languages.
Must have strong understanding of statistics and machine learning.
Prior experience in R or Python and data analytics is preferred.
Education:
MS/PhD in Mechanical, Electrical, Computer Science or Aerospace Engineering from an accredited school with focus on Image/Signal processing and Computer Vision
Applicable experience
Cyient_indeed
Job Type: Full-time
Schedule:
Monday to Friday
Work Location:
One location
Company's website:
www.cyient.com
Work Remotely:
Temporarily due to COVID-19
COVID-19 Precaution(s):
Remote interview process
Personal protective equipment provided or required
Plastic shield at work stations
Temperature screenings
Social distancing guidelines in place
Virtual meetings
Sanitizing, disinfecting, or cleaning procedures in place
Work Location: One location",$65K - $128K (Glassdoor est.),3.4,10000+ Employees,Company - Public,Information Technology,1991,Information Technology Support Services,$100 to $500 million (USD)
AdVon Commerce,Data Scientist,"Dublin, OH","AdVon Commerce started with a vision: Solve e-commerce problems for retailers and publishers.
Our customers are so happy with our technology and are constantly asking us to expand our offerings. Hence, AdVon is pushing to increase the speed, efficiency, and resiliency of all our software. Armed with great technical talent our expanded product offering will be designed for the cloud and automatically handle infrastructure, optimization, availability, data protection, and more, so our publishers and retailers can focus on their core competencies, not managing tech solutions.
In our effort to expand the AdVon product offering we are actively hiring talented senior software engineers who can be part of a world class team which is already building a whole new product area for AdVon. This role is a unique opportunity to make a significant impact on our elastic, large scale, high-performance computing environment.
Who we’re looking for
We are hiring a Data Scientist to help us build our next generation of Data Platforms and Data Pipelines to help expand our growing suite of e-commerce content products. This is an exciting opportunity to participate in the innovation and evolution of a large and rapidly changing industry, at a scale few other places can match.
Engineers and Data Scientists on the Data team work together to build our data platform and critical ETL pipelines while advancing best practices [think resiliency and maintainability] for not only the data team, but the rest of the organization.
You will be part of a passionate and growing team who takes pride in their work, and cares about their colleagues. If you are someone who takes ownership of your projects and thrives in a dynamic environment, then let's chat!
Responsibilities
As a Data Scientist, you will be a leader, advisor, SME in working closely with the Artificial Intelligence / Machine Learning teams to develop next-generation, smart enterprise software for content driven commerce.
We are looking for an intelligent, driven, passionate Data Scientist who is a self-motivated collaborator be a part of this quest. This role is ideal for someone who has solid mathematical background, domain experience in statistical analysis, data mining, information retrieval, or machine learning, and a strong system orientation. It offers the unique opportunity to have direct impact on key product initiatives, including product search relevance, information extraction, and recommendations.
Qualifications
Required Qualifications
· Strong Cloud Computing experience (preferably GCP, though other cloud providers will suffice)
· Strong Python experience
· Web Analytics / Google Analytics
· GPT 2/3 and Analytics exposure are nice given medium- and longer-term business objectives
· Regression Analysis
· Machine Learning experience
· Experiment - A/B Test Design & Measurement
Who You Are
Highly energetic and proactive with strong leadership skills
Enjoy making sense of chaos and data
Passionate about the latest developments in technology
You are excited to innovate and understand the balance between trying something new and doing something tried.
You ask thoughtful questions, aren't afraid to fail, and constantly seek to be better.
A collaborative team player with the ability to shift gears quickly, efficiently and effectively
Dependable and reliable with clear thinking and attention to detail
Have a great sense of humor and a positive outlook on life'
'
Work Remotely
No
Job Type: Full-time
Pay: From $95,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
Day shift
Monday to Friday
Supplemental Pay:
Bonus pay
Work Location: One location",Employer Provided Salary:$95K,-1,-1,,,,,
The Burchell Group Inc.,Data Scientist,"Dallas, TX","Job Title:
Data Scientist
Type:
Direct Hire
Location:
Clearwater, FL or Dallas, TX
Experience:
3+ year
The data scientist role is within the risk management department and provides analytics with the goal of reducing losses in the payments business. The primary function is to develop statistical models that are used by risk analysts to manage losses from fraud.
Roles & Responsibilities
Produce predictive scoring models, typically logistic regression models, to identify transactions with a high probability of resulting in a financial loss
Query databases to produce data sets for analysis and reporting
Run and modify complex SAS macros for analysis and reporting
Determine value of data elements in managing risk in the face of fraud
Recommend optimal risk management strategies based on results of analytical research
Summarize and present research to peer groups, senior management, and external clients when requested
Consult with various groups in the business in the use of decision sciences to improve the effectiveness risk management strategies
Most importantly, develop innovative solutions with minimal guidance to meet financial goals
Requirements
Programming skills in SAS (preferred), R, and/or Python
Experience querying data using SQL
Proven experience applying analytical and problem-solving skills to develop innovative solutions
Ability to present analytics to decision makers in a clear and understandable fashion
Ability to complete self-directed analysis
Applied knowledge developing predictive models using regression analysis, decision trees, and neural networks a strong plus
Master's or PhD in highly quantitative field preferred, relevant certification training also considered; Some experience, could be academic, programming and modeling with SAS
1+ years applied experience using statistical software for data manipulation and analysis
Job Type: Full-time
Pay: $110,000.00 - $155,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Supplemental Pay:
Bonus pay
COVID-19 considerations:
100% remote in Dallas
Education:
Master's (Preferred)
Experience:
Python: 3 years (Preferred)
SQL: 3 years (Preferred)
Data Scientists & Statisticians: 3 years (Preferred)
SAS Viya: 1 year (Preferred)
developing predictive models: 1 year (Preferred)
Work Location: One location",Employer Provided Salary:$110K - $155K,4.6,51 to 200 Employees,Company - Private,Human Resources & Staffing,2011,HR Consulting,$1 to $5 million (USD)
"Vanu, Inc.",Data Scientist,"Lexington, MA","A unique position has arisen for a skilled, enthusiastic, and results-oriented data scientist in the budding global mapping group of a growing telecommunications company located in Lexington, Massachusetts. Vanu Inc is a global leader in providing wireless coverage to the 1.2 billion people worldwide currently unable to connect, with a particular focus on markets in Africa and South East Asia.
As a cartographically oriented data scientist you will help us to develop the technology and insight we need to address growing international interest in and application of our unique industry disrupting network planning and mapping capabilities. You will be an integral member of our analytics department focused both on the formulation of novel applications and the streamlining of existing tech.
The necessary credentials:
-Master’s degree or better in engineering or science-related field
-Python and linux fluency
-Strong Data Science experience
-Demonstrable experience with Geodata and mapping technology (tif, shp, kmz, appropriate python libs, etc)
-Self motivated
As the ideal candidate you’ll:
-Demonstrate focus on accuracy and attention to detail
-Exhibit inspiring organizational skills
-Thrive in a fast-paced environment
-Be comfortable presenting ideas and suggestions clearly and effectively
-Have an interest in technology and a passion for learning new things
And as a plus:
-Experience working in telecom
-Strong familiarity with key standards from ITU, IETF, GSMA, 3GPP and LTE
-Open to the possibility of international travel
Job Type: Full-time
Pay: $100,000.00 - $150,000.00 per year
Benefits:
401(k)
Dental insurance
Flexible schedule
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Professional development assistance
Relocation assistance
Schedule:
Monday to Friday
COVID-19 considerations:
Most all employee are still working remotely due to Covid. For employees that need to go in to work on the hardware equipment, they can go any time. In non-Covid times, WFH policy is quite flexible. However, most employees do go into the office M-F.
Education:
Master's (Preferred)
Experience:
Python: 1 year (Preferred)
SQL: 1 year (Preferred)
Language:
English (Required)
Work Location: One location",Employer Provided Salary:$100K - $150K,-1,-1,,,,,
Kadence International,Junior Data Scientist,Remote,"Overview
Title: Junior Data Scientist
Salary: 45,000 - 60,000 depending on experience
Desired Start Date:
Location: Remote, able to work on a PST schedule
Role: To work closely with the Data Visualization Analyst on projects related to data science and analytics, with an emphasis on exploring creative ways to infuse data science into current and future client services
Qualifications
2-3 years of data science/analytics or statistics experience
Fluency in a scripting language: preference for Python or R
Strong Excel and Google Sheets skills
Experienced in applying a variety of machine learning models
Comfortable transforming data via Excel and Google Sheets formulas
Experience with statistical analysis tools: SPSS preferred
Comfortable adapting to regular changes and a fast-paced work environment
Solution and service-oriented mindset: will often be tasked with creating myriad data-related solutions for clients and team members
Detail-oriented; naturally curious; internally motivated; eager to learn new tools and techniques; takes initiative to explore creative solutions
Technical Skills
Data Cleaning: experience cleaning data sets of various types and levels of complexity
Data Wrangling: experience manipulating and transforming data into useful formats
Data Science: experience and enthusiasm for exploring varied data sets and applying appropriate data science techniques
Data Visualization: experience creating effective data visualizations, preference for Tableau or Google Data Studio
Statistical Analysis: experience and understanding of foundational concepts and methods for producing sound statistical conclusions
Database Management
Job Type: Full-time
Pay: $45,000.00 - $60,000.00 per year
Benefits:
401(k)
Dental insurance
Flexible schedule
Health insurance
Paid time off
Schedule:
8 hour shift
Monday to Friday
Experience:
Python: 1 year (Preferred)
SQL: 1 year (Preferred)
Data Scientists & Statisticians: 1 year (Preferred)
Work Location: Remote",Employer Provided Salary:$45K - $60K,-1,-1,,,,,
KOHLS,"Data Scientist I, **Remote**","Milpitas, CA","Interprets and applies data analytics to provide recommendations to the business.
ACCOUNTABILITIES
Develops and executes statistical and mathematical solutions to business problems
Frame problem, determine intended approach and recommend quantitative methods to develop solution
Use analytical rigor and statistical methods to analyze large amounts of data, culling actionable insights using advanced statistical techniques such as predictive statistical models, customer profiling, segmentation analysis, survey design and analysis and data mining
Design experiments to answer targeted questions
Document projects including business objective, data gathering and processing, leading approaches, final algorithm, detailed set of results and analytical metrics
Develops materials to explain project findings to management
Develops new algorithms and mathematical approaches to understand Kohl's audiences and solves complex business problems such as optimizing product performance, revenue and adoption
Identify and drive continuous improvement of key business metrics in assigned business functional area
Drive adoption and usage of analytical products and models
Think in terms of iterative development, document, and communicate throughout products data science lifecycle
Build and validate models
QUALIFICATIONS
Experience developing custom models based on in-depth understanding of underlying data, data structures, and business problems to ensure analytics deliverables meet stakeholders need
Experience developing state of the art algorithms using machine learning, statistical and optimization methods to power various aspects of highly complex business models
Experience using modern analytics tools and languages such as Python, R, Spark, SQL (BigQuery), etc
Strong problem solving skills with an emphasis on product development
Experience proposing rapid experiments to test the effect of new strategies or initiatives, and iterate quickly
REQUIRED
2+ years of progressively complex Data Science or analytics experience
BS in Data Science, Computer Science, Machine Learning, Applied Mathematics, or equivalent quantitative field
Spark, Python, R proficiency
PREFERRED
Masters degree
Retail experience
Supply chain management
Marketing models
Logistics experience",$74K - $138K (Glassdoor est.),3.4,10000+ Employees,Company - Public,Retail & Wholesale,1962,"Department, Clothing & Shoe Stores",$10+ billion (USD)
