Company Name,Job Name,Job Location,Job Description,Salary,Rating,Company Size,Company Type,Company Sector,Year Founded,Company Industry,Company Revenue
"United Solutions, LLC",Data Scientist,"North Bethesda, MD","Qualified candidates must live in the United States, with the ability to commute to the Rockville, MD office.
WHAT YOU’LL BRING TO THE TABLE
· We’re looking for someone with a minimum of 1 year of experience in data science and building machine learning models and is familiar with the software/tools listed below.
· Strong problem-solving skills with an emphasis on product development. Strong experience of a variety of machine learning techniques (clustering, decision tree learning, neural networks, deep learning etc.) and their real-world advantages/drawbacks.
· Strong experience using computer languages such as Python, Javascript and SQL is a must. Having some R and C++ knowledge is a plus.
· Strong experience in manipulating data and drawing insights from large data sets. Experience working with and creating data architectures.
· Experience working with MongoDB, Oracle Database etc.
· Hands on experience on language modeling tasks, sequence to sequence learning using Natural Language Processing.
· Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
· Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
· Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, Cassandra etc. is a plus.
· Experience visualizing/presenting data for stakeholders using: D3, ggplot, Tableau, PowerBI etc.
· Excellent written and verbal communication skills for coordinating across teams.
· A drive to learn and master new technologies and techniques.
Work Remotely
No
Job Type: Full-time
Pay: From $55,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
10 hour shift
Monday to Friday
Overtime
Weekend availability
Supplemental Pay:
Bonus pay
Ability to commute/relocate:
North Bethesda, MD 20850: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
Are you able to obtain a Security Clearance at the Secret level or higher?
Education:
Bachelor's (Required)
Experience:
Machine Learning: 1 year (Required)
Python: 1 year (Required)
Work Location: One location",Employer Provided Salary:$55K,-1,-1,,,,,
"New Light Technologies, Inc.",Senior Data Scientist- Differential Privacy SME,Remote,"Senior Data Scientist-Differential Privacy SME
Do you like developing innovative data science algorithms, solutions, and applications? Are you interested in advancing the security of big data? New Light Technologies Inc. (NLT), a leading provider of integrated Data Science, Geospatial, Cloud, and Agile Software Engineering services based in Washington DC, is currently seeking a full-time Senior Data Scientist to join a team of talented technology professionals building the nation's most advanced data privacy protection solution!
The candidate will work with a world renowned interdisciplinary team to design, develop, and implement next-generation disclosure avoidance methods to protect private and personally identifiable information (PII) in large public-use datasets. This will involve the development and testing of novel differential privacy and post-processing algorithms that provably safeguard confidentiality in large datasets. This position requires a leader, innovator, and problem-solver with solid data science, statistical, and programming experience. This position also requires experience developing and designing new projects and solutions, coordinating projects between multiple teams with many stakeholders in a pro-active, enthusiastic communication style.
Scope of Work:
Develop, implement, and test new differential privacy and post-processing algorithms and code.
Design, develop and test performance optimization code enhancements.
Develop metrics to evaluate statistical accuracy and code performance.
Develop code/frameworks for running, analyzing, and visualizing statistical results.
Work with DevOps and Application Development teams to productionize and troubleshoot data science code.
Skills & Relevant Experience Requirements:
MS/PhD degree in Computer Science, Statistics, Math, Operations Research, or related field.
U.S. Work Authorization & Ability to pass U.S. government security clearance and background check.
Experience with developing code routines and algorithms that analyze and process and very large data sets
Experience with Differential Privacy protection and related statistical methodologies.
Strong background with Statistics, Optimization Theory, and Data Science.
Experience with Gurobi model development.
Strong skills with Linux and Python programming.
Strong skills managing big data routines and architectures with AWS EMR Clusters, Apache Spark, and PySpark.
Experience with public and non-public, longitudinal and geographic, demographic and economic data.
Excellent analytical and problem-solving skills.
Experience evaluating proposed systems and recommending improvements.
Experience managing, testing, and deploying software components within SLDC.
Experience with GitHub, Subversion, or another source control systems.
Strong oral and written communication skills and ability to work with stakeholders at all levels.
Demonstrated understanding of project management, schedules, and how to estimate the level of effort for development tasks.
Company: New Light Technologies Inc. (NLT) is a leading provider of integrated science, technology, mission, and research services based in Washington DC and an equal opportunity employer. NLT’s culture of innovation and creativity encourages the integration of technologies, approaches, and fields enabling the firm to lead and support a wide range of science, technology, research, and development projects. NLT team members are creative problem-solvers who are committed to exceeding client expectations and who possess an entrepreneurial spirit. NLT offers competitive salaries, excellent health benefits, and a network of like-minded team members that drive innovation. If you are looking to join a dynamic company that promotes a strong work/life balance and leads the industry in providing cutting-edge solutions for the public and private sectors, then NLT is the place for you. To learn more, please visit https://newlighttechnologies.com.
Job Type: Full-time
Pay: $100,000.00 - $260,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Employee discount
Flexible schedule
Flexible spending account
Health insurance
Health savings account
Paid time off
Parental leave
Professional development assistance
Referral program
Relocation assistance
Retirement plan
Vision insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Education:
Doctorate (Preferred)
Experience:
Python: 5 years (Required)
Advanced Math: 5 years (Required)
PySpark: 3 years (Required)
Work Location: Remote",Employer Provided Salary:$100K - $260K,5.0,-1,Accounting & Tax,$1 to $5 million (USD),Company - Private,Financial Services,
Innovative Precision Health,Senior Data Scientist,Remote,"Job Responsibilities:
Project Delivery (70 - 85%)
Consult clients to define and refine business objectives towards data-driven decision problems
Research internal & external tools & methodologies to develop AIML solution concepts for client problem briefs..
Work with client & IPH team to rapidly prototype innovative AIML solutions including: data & requirements gathering, technological scoping and architecture, code implementation, insights delivery and recommendations.
Work with cross-functional client & IPH team to scale AIML solutions to production systems.
Strong communication skills to effectively translate complex analytical models into recommendations for business partners.
Mentoring junior Data Scientists on technical skills & career progression.
Building & teaching an AIML skill specialization for the Healthcare practice.
Gathering project learnings and developing them into repeatable / reusable assets & IP for the AIML & Healthcare team
Supporting AIML team growth through interviewing, networking, and industry representation.
Requirements:
Strong programing skills in at least one numerical computing language: R/Python.
Strong experience in building Machine learning (ML) models and experience in deploying solutions in big data production systems on cloud.
Working understanding in areas of machine learning methods and traditional statistical analysis, Bayesian modeling, traditional ML, Deep Learning, RL and optimization
Working knowledge of coding best practices – version control, code linting, unit testing, etc.
Working knowledge of AWS Cloud environments.
Ability to understand and work with large disparate data sets and transform the information into clear insights for the business.
Intellectual agility & stamina – ability to learn adjacent technical skills quickly and continuously, ability to give and use constructive feedback effectively.
Scientific temperament – ability to research, build & verify hypotheses / mental models about technical & organizational problems that need to be solved.
Experience in efficiently deploying AI/ML solutions in big data production systems on premise or AWS Cloud with consideration of resource utilization and costs
Experience with API infrastructure design, automated data processing and aggregation
Ability to design and manage noSQL data architecture according to business needs
Experience & Education:
5 or more years of demonstrated experience in driving real-world value by solving problems requiring complex quantitative reasoning using data & modeling techniques.
Graduate/under-graduate degree in any of the quantitatively rich disciplines such as Computer Science / Mathematics / Physics / Operations Research
Mandatory Skills:
AWS,
Machine Learning,
Neural Network,
SQL, Python, Linux OS
Deep Learning Traditional Statistical analysis,
Bayesian modeling
Job Type: Full-time
Pay: From $150,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
Python: 1 year (Preferred)
SQL: 1 year (Preferred)
Linux OS: 1 year (Preferred)
Work Location: Remote",Employer Provided Salary:$150K,3.2,-1,Unknown / Non-Applicable,,Company - Private,,
"Tosh, Inc. dba Check City",Data Scientist,"Provo, UT","Tosh, Inc. is seeking an experienced data scientist who will support our product, sales, leadership and marketing teams with insights gained from analyzing internal and external data sources. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. The candidate must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.
Responsibilities for Data Scientist
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
Develop underwriting models and scorecards
Develop company A/B testing framework and test model quality.
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Qualifications for Data Scientist
The ideal candidate will possess the following:
Strong problem-solving skills with an emphasis on product development.
Proficiency in statistical computer languages (R, Python, SQL, etc.).
Experience working with and creating data architectures.
Experience developing credit scorecards.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
A four-year degree in a related field: Mathematics, Statistics, Computer Science, Finance or Engineering
We’re looking for someone with at least four (4) years of professional experience manipulating data sets and building statistical models and is familiar with the following software/tools:
Coding knowledge and experience with several languages: C, C++, Java, JavaScript, etc.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
Experience querying databases and using statistical computer languages: R, Python, SQL, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Additional Qualifications a Plus
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
Experience visualizing/presenting data for stakeholders using: Power BI, Tableau, Periscope, Business Objects, D3, ggplot, etc.
Experience using web services: Redshift, S3, Spark, DigitalOcean, etc.
Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.
Compensation & Benefits
In addition to a generous salary, we offer our employees the following benefits:
Company provided health insurance coverage for you and your immediate dependents
Excellent Wellness Program with Gym Reimbursement
401(k) with employer match
Generous PTO & paid holidays
Relaxed and people focused culture
Job Type: Full-time
Pay: $80,000.00 - $135,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible schedule
Flexible spending account
Health insurance
Life insurance
Paid time off
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Ability to commute/relocate:
Provo, UT 84604: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Preferred)
Experience:
Python: 1 year (Preferred)
SQL: 1 year (Preferred)
Work Location: One location",Employer Provided Salary:$80K - $135K,-1,-1,,,,,
Crescent Bank,Data Scientist,"Carrollton, TX","About the Position:
Crescent Bank is looking for a Data Scientist who will build models and analyses that lead to a better understanding of how our business performs.

The person in this role will be expected to identify and implement potential solutions that will drive overall performance and profitability of the company. This will include creating analytical frameworks to evaluate solutions to various risks and opportunities related to the business. The person in this role will also be expected to monitor performance of specific business areas and related testing and draw insights for improvement opportunities. In addition, the person in the role will be expected to use analytical techniques to ground the value of different solutions.

What we are looking for:
To find success in this role, a candidate should have a related Bachelor’s degree and related experience. Experience with statistical models and analytical work will also lead to success as well as knowledge of data mining tools such as SQL, SAS, R, and Python.

About Crescent Bank:
Crescent Bank began in 1991 as a small New Orleans based community bank. Today, Crescent Bank has a presence nation-wide and is on a mission to leverage technology to provide auto lending and savings access to consumers who may not be served by other traditional banking products.

Crescent Bank prioritizes employee growth and advancement- both as employees and as individuals- through our core values and through the benefits we offer.

Our Core Values include: Be a Team Player, Continuously Improve, Do the Right Thing, Put the Customer First, & Take Ownership

We are proud to offer the following key benefits:
Workplace flexibility for eligible positions
All the insurance programs you’d expect- health, dental, vision, life, disability, + more
Multiple types of paid time off
Retirement program with company contribution
Paid parental Leave
Award-winning Wellness programs
Tuition Reimbursement
Payroll on Demand- access your pay when you need it most.
Learn more about life at Crescent Bank here: Crescent Bank Profile

Additional Information:
Bachelor’s degree in a major with an analytical focus; examples include Engineering, Science, Mathematics, Finance, and Economics.
Knowledge of data mining tools such as SQL, SAS, R and Python
Analytical and model development skills.
Truth seeker / intellectual curiosity
Key Skills: results focused, effective communication, attention to detail, relationship builder,
Equal Opportunity Employer/Veterans/Disabled",$73K - $148K (Glassdoor est.),3.1,-1,Banking & Lending,$50 to $100 million (USD),Company - Private,Financial Services,
KOHLS,"Data Scientist II, (Remote)","Menomonee Falls, WI","Are you a highly capable, motivated Data Scientist with experience in leveraging machine learning technologies to derive insights from big data? Do you have a passion for solving interesting and meaningful problems using principled techniques and practices? Join our Kohl’s Data Science organization! The most important aspect we look for in aspiring Data Scientists is intellectual curiosity, people who love the joy of discovery and implement your idea in production scale. You will work with top-talent and the latest technology which will lead to a unique opportunity to turn insights into products, generating opportunities to grow sales and profitability for the company but also your responsibility and skill set around Data Science applications in retail. You’ll be working within a balanced team alongside data scientists, engineers, product managers and designers. In addition, you will be a member of the broader data science organization, and participate in our data science study groups, team activities, and attend conferences.
Implement and tune new algorithms and mathematical approaches to solve complex DS problems by working closely with data scientist(s)
Scale models which read large amounts of data, perform feature engineering and produce sophisticated models which solve business use cases
Drive adoption and usage of analytical products and models
Think in terms of iterative development, document, and communicate throughout products data science lifecycle
Build and validate models
Research new ways for modeling and predicting end-user behavior
Identify and drive continuous improvement of key business metrics in assigned business functional area
QUALIFICATIONS
Experience implementing open source ML libraries (Tensorflow, XGBoost, LightGBM, etc)
Experience with deployment, continuous integration, continuous delivery, and continuous training of machine learning models
Experience in model building tools like Maven, Gradle, Jenkins;
Experience with coding in programming languages including Python, Java, Scala, Spark
Experience using cloud infrastructure such as GCP, AWS, Azure
Experience developing custom models based on in-depth understanding of underlying data, data structures, and business problems to ensure analytics deliverables meet stakeholders need
Experience developing state of the art algorithms using machine learning, statistical and optimization methods to power various aspects of highly complex business models
Experience working directly with cross-functional teams such as leadership, product management, design and engineering
Experience documenting, synthesizing, and communicating results at all levels of the organization
Strong problem solving skills with an emphasis on product development
REQUIRED
4+ years of progressively complex Data Science and/or ML experience
BS in Computer Science, Data Science, or equivalent quantitative field
PREFERRED
Master's Degree and/or Ph.D.
Retail experience
Supply chain management
Marketing models
Logistics experience
Experience working as DevOps/DataOps or MLOps engineer
Experience with OGSM approach - strategy development and execution",$71K - $124K (Glassdoor est.),3.4,10000+ Employees,Company - Public,Retail & Wholesale,1962,"Department, Clothing & Shoe Stores",$10+ billion (USD)
BlueFoot Inc.,Senior Data Scientist,Remote,"Role: Senior Data Scientist
Company: BlueFoot Inc.
About the Role:
We have an existing commercial SaaS platform that consists of 3 components: a web application, several 3rd party databases integrated into our backend, and a Natural Language Processing, supervised ML model based on a custom taxonomy.
We are looking to build 2.0 of our platform, with an enhanced supervised deep learning model based on a confluence of data from various data sources (e.g., patent, financial, and market data).
Our Senior Data Scientist would need to integrate new data sources into our backend platform, review existing ML models and create a new supervised NLP deep learning model using the integrated data sources and custom taxonomy to categorize data according to that taxonomy. This could include the creation of new data processing pipelines, and various ML processes including data preparation, feature selection, training, classification, and deployment workflows.
Our Current Stack: AWS to host the infrastructure, including the CICD
Core app: Java (SpringBoot)+ Angular, Python, Kubernetes, EMR, Spark, Elasticsearch, PostgreSQL, Openpyxl, Streamlit, Watchdog, spacy-lookups-data, sklearn, seaborn, nltk, matplotlib, pandas, spacy, SQLAlchemy
Role Responsibilities:
Integrate new data sources into the existing backend, ensuring interoperability and integrity with the current platform flows
Prepare new ML processes and define areas for improvement for existing ML processes
Work in close collaboration with back-end engineers to ensure compatibility of changes
Assist dev team with processing and integrating data analysis
Clearly document processes, methodologies, and tools used
Experience Required:
B.S. in relevant technical degree
2 to 3 years experience working with and building supervised machine learning models; experience with natural language processing is a plus
Proficiency with technical writing and data visualization
Project management skills, to scope out timeline, methodology, and deliverables for a supervised machine learning model and integration into the platform
Logistics: Geography, Work Status, Etc.
The position is remote. Because of certain clients, BlueFoot prefers a U.S. citizen or green card holder, but is willing to consider someone with a U.S. work permit and proper visa. We are also looking for someone full-time to join us immediately.
Interview Process:
We will conduct 3 rounds of interviews.
First Round: Culture, fit, and background interview with the company founders
Second Round: Technical Interview
Third Round: Panel Interview with the team
How to Apply:
Please provide the following:
Resume
Cover Letter
List of ML libraries that you have familiarity working with
Any links to Git repositories or ML projects that we can review
About the Company:
BlueFoot is the source of truth for patent intelligence. Patents protect revenue and investment in the market. Given that, patent intelligence is not complete UNLESS it integrates financial and market data. We provide SaaS platforms that correlate multiple data sets (patent, financial, and market data) using supervised deep learning, in order to answer fundamental questions related to patent and innovation strategy.
We provide patent intelligence to corporate IP departments and the defense sector. We are expanding to technology transfer, venture capital, and financial institutions.
Job Type: Full-time
Pay: $185,000.00 per year
Benefits:
Dental insurance
Health insurance
Paid time off
Parental leave
Schedule:
8 hour shift
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
Python: 3 years (Preferred)
Work Location: Remote",Employer Provided Salary:$185K,-1,-1,,,,,
AdVon Commerce,Data Scientist,"Dublin, OH","AdVon Commerce started with a vision: Solve e-commerce problems for retailers and publishers.
Our customers are so happy with our technology and are constantly asking us to expand our offerings. Hence, AdVon is pushing to increase the speed, efficiency, and resiliency of all our software. Armed with great technical talent our expanded product offering will be designed for the cloud and automatically handle infrastructure, optimization, availability, data protection, and more, so our publishers and retailers can focus on their core competencies, not managing tech solutions.
In our effort to expand the AdVon product offering we are actively hiring talented senior software engineers who can be part of a world class team which is already building a whole new product area for AdVon. This role is a unique opportunity to make a significant impact on our elastic, large scale, high-performance computing environment.
Who we’re looking for
We are hiring a Data Scientist to help us build our next generation of Data Platforms and Data Pipelines to help expand our growing suite of e-commerce content products. This is an exciting opportunity to participate in the innovation and evolution of a large and rapidly changing industry, at a scale few other places can match.
Engineers and Data Scientists on the Data team work together to build our data platform and critical ETL pipelines while advancing best practices [think resiliency and maintainability] for not only the data team, but the rest of the organization.
You will be part of a passionate and growing team who takes pride in their work, and cares about their colleagues. If you are someone who takes ownership of your projects and thrives in a dynamic environment, then let's chat!
Responsibilities
As a Data Scientist, you will be a leader, advisor, SME in working closely with the Artificial Intelligence / Machine Learning teams to develop next-generation, smart enterprise software for content driven commerce.
We are looking for an intelligent, driven, passionate Data Scientist who is a self-motivated collaborator be a part of this quest. This role is ideal for someone who has solid mathematical background, domain experience in statistical analysis, data mining, information retrieval, or machine learning, and a strong system orientation. It offers the unique opportunity to have direct impact on key product initiatives, including product search relevance, information extraction, and recommendations.
Qualifications
Required Qualifications
· Strong Cloud Computing experience (preferably GCP, though other cloud providers will suffice)
· Strong Python experience
· Web Analytics / Google Analytics
· GPT 2/3 and Analytics exposure are nice given medium- and longer-term business objectives
· Regression Analysis
· Machine Learning experience
· Experiment - A/B Test Design & Measurement
Who You Are
Highly energetic and proactive with strong leadership skills
Enjoy making sense of chaos and data
Passionate about the latest developments in technology
You are excited to innovate and understand the balance between trying something new and doing something tried.
You ask thoughtful questions, aren't afraid to fail, and constantly seek to be better.
A collaborative team player with the ability to shift gears quickly, efficiently and effectively
Dependable and reliable with clear thinking and attention to detail
Have a great sense of humor and a positive outlook on life'
'
Work Remotely
No
Job Type: Full-time
Pay: From $95,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
Day shift
Monday to Friday
Supplemental Pay:
Bonus pay
Work Location: One location",Employer Provided Salary:$95K,-1,-1,,,,,
PAIIR Solutions,Data Scientist,"Suffern, NY","SR. DATA SCIENTIST
Here's your rare opportunity to join our client's exciting, fast-growing, and dynamic team in Suffern, NY!
About you:
You have 3++ years of solid expertise in developing market forecasting, analysis and campaign reporting.
You have strong experience in R and Python
Java, Alteryx, VBA, SQL, ETL a plus.
You’re well-spoken, and can verbally communicate well with Fortune 500 clients.
Your Excel skills are wizard level.
You don't need micromanagement and work well in team environments
You appreciate the value of excellent analytical, written and oral communication and make it a priority
You enjoy turning data science puzzles into actionable results
You're ready for a real opportunity to grow with a well-established organization that actually cares about its team, its clients and its technology
About our Client:
The trusted one-stop partner for today’s omnichannel retailers. Utilizing proprietary technology to drive customer conversion they help their clients with actionable solutions. With 22 years in the space, they’ve sustained epic growth Y-O-Y even during the pandemic. Here are just a few of the highlights they want you to know:
They’re committed to technology advancement with a talented and balanced team.
Culture matters and it shows their staff stays for a reason.
Long-standing marquee partnerships with glowing testimonials are their hallmark.
No egos hired or tolerated - they celebrate one another's success and play nice in the sandbox.
Opportunity abounds with a focus on individual growth and career advancement.
Their well-established reputation with its employees and clients happens on purpose.
Strong pay plans, benefits and a 401k.
Transparent and accountable management dedicated to your success - integrity counts!
About your role:
You’ll be helping to lead the team in the day-to-day execution and analytics of direct marketing campaigns.
You’ll use your keen eye for detail to refine, gather and scrub data improving accuracy and analysis.
You’ll deal with ambiguity and ad-hoc requests from other departments, remaining flexible and solution-oriented.
You’ll thrive in the further development of your projects, your growth and the organization.
You'll be attentive to details: prove it by including the word ""listen"" in your application or cover letter.
Compensation:
Comp is DOE
Flexible schedule
Full Medical/Dental
401k
Paid Time Off
Work Remotely
No
Job Type: Full-time
Pay: Up to $125,000.00 per year
Benefits:
401(k)
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Relocation assistance
Vision insurance
Schedule:
8 hour shift
COVID-19 considerations:
Employees are vaccinated.
Application Question(s):
How confident are you in your R, Python or Alteryx skills?
Have you received a COVID19 Vaccine?
Education:
Bachelor's (Preferred)
Work Location: One location",Employer Provided Salary:$125K,-1,-1,,,,,
Kadence International,Junior Data Scientist,Remote,"Overview
Title: Junior Data Scientist
Salary: 45,000 - 60,000 depending on experience
Desired Start Date:
Location: Remote, able to work on a PST schedule
Role: To work closely with the Data Visualization Analyst on projects related to data science and analytics, with an emphasis on exploring creative ways to infuse data science into current and future client services
Qualifications
2-3 years of data science/analytics or statistics experience
Fluency in a scripting language: preference for Python or R
Strong Excel and Google Sheets skills
Experienced in applying a variety of machine learning models
Comfortable transforming data via Excel and Google Sheets formulas
Experience with statistical analysis tools: SPSS preferred
Comfortable adapting to regular changes and a fast-paced work environment
Solution and service-oriented mindset: will often be tasked with creating myriad data-related solutions for clients and team members
Detail-oriented; naturally curious; internally motivated; eager to learn new tools and techniques; takes initiative to explore creative solutions
Technical Skills
Data Cleaning: experience cleaning data sets of various types and levels of complexity
Data Wrangling: experience manipulating and transforming data into useful formats
Data Science: experience and enthusiasm for exploring varied data sets and applying appropriate data science techniques
Data Visualization: experience creating effective data visualizations, preference for Tableau or Google Data Studio
Statistical Analysis: experience and understanding of foundational concepts and methods for producing sound statistical conclusions
Database Management
Job Type: Full-time
Pay: $45,000.00 - $60,000.00 per year
Benefits:
401(k)
Dental insurance
Flexible schedule
Health insurance
Paid time off
Schedule:
8 hour shift
Monday to Friday
Experience:
Python: 1 year (Preferred)
SQL: 1 year (Preferred)
Data Scientists & Statisticians: 1 year (Preferred)
Work Location: Remote",Employer Provided Salary:$45K - $60K,-1,-1,,,,,
