Company Name,Job Name,Job Location,Job Description,Salary,Rating,Company Size,Company Type,Company Sector,Year Founded,Company Industry,Company Revenue
KOHLS,Staff Data Scientist,"Milpitas, CA","Interprets and applies data analytics to translate business insights into actionable items.
ACCOUNTABILITIES
Lead product decisions through data and insights; set goals, and identify the right levers to achieve those goals
Lead product team in determining intended approach and quantitative methods to develop solution
Oversee design experiments to answer targeted questions
Identify and drive continuous improvement of key business metrics in assigned business functional area
Drive adoption and usage of analytical products and models
Translate analytical outputs into business outcomes / value delivered - ability to break complex math into business outcomes
Maintain strong business partner relationships to gain cross organization alignment
Engage leaders across the organization in maximizing analytical capabilities to drive business optimization
Think in terms of iterative development, document, and communicate throughout products data science lifecycle
Build and validate models
QUALIFICATIONS
QUALIFICATIONS
Experience developing custom models based on in-depth understanding of underlying data, data structures, and business problems to ensure analytics deliverables meet stakeholders need
Experience developing state of the art algorithms using machine learning, statistical and optimization methods to power various aspects of highly complex business models
Experience working directly with cross-functional teams such as leadership, product management, design and engineering
Experience using modern analytics tools and languages such as Python, R, Spark, SQL (BigQuery), etc
Experience documenting, synthesizing, and communicating results at all levels of the organization
Strong problem solving skills with an emphasis on product development
Experience proposing rapid experiments to test the effect of new strategies or initiatives, and iterate quickly
REQUIRED
BS with 5+ years of experience (or MS with 2+ years) in Data Science, Computer Science, Machine Learning, Applied Mathematics, or equivalent quantitative field
Track record of guiding teams through unstructured technical problems to deliver business impact
Full stack experience across data science, analytics, and data engineering
PREFERRED
Masters degree and/or Ph.D.
Retail experience
Supply chain management
Marketing models
Logistics experience",$99K - $161K (Glassdoor est.),3.4,10000+ Employees,Company - Public,Retail & Wholesale,1962,"Department, Clothing & Shoe Stores",$10+ billion (USD)
"Tosh, Inc. dba Check City",Data Scientist,"Provo, UT","Tosh, Inc. is seeking an experienced data scientist who will support our product, sales, leadership and marketing teams with insights gained from analyzing internal and external data sources. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. The candidate must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.
Responsibilities for Data Scientist
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
Develop underwriting models and scorecards
Develop company A/B testing framework and test model quality.
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Qualifications for Data Scientist
The ideal candidate will possess the following:
Strong problem-solving skills with an emphasis on product development.
Proficiency in statistical computer languages (R, Python, SQL, etc.).
Experience working with and creating data architectures.
Experience developing credit scorecards.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
A four-year degree in a related field: Mathematics, Statistics, Computer Science, Finance or Engineering
We’re looking for someone with at least four (4) years of professional experience manipulating data sets and building statistical models and is familiar with the following software/tools:
Coding knowledge and experience with several languages: C, C++, Java, JavaScript, etc.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
Experience querying databases and using statistical computer languages: R, Python, SQL, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Additional Qualifications a Plus
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
Experience visualizing/presenting data for stakeholders using: Power BI, Tableau, Periscope, Business Objects, D3, ggplot, etc.
Experience using web services: Redshift, S3, Spark, DigitalOcean, etc.
Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.
Compensation & Benefits
In addition to a generous salary, we offer our employees the following benefits:
Company provided health insurance coverage for you and your immediate dependents
Excellent Wellness Program with Gym Reimbursement
401(k) with employer match
Generous PTO & paid holidays
Relaxed and people focused culture
Job Type: Full-time
Pay: $80,000.00 - $135,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible schedule
Flexible spending account
Health insurance
Life insurance
Paid time off
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Ability to commute/relocate:
Provo, UT 84604: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Preferred)
Experience:
Python: 1 year (Preferred)
SQL: 1 year (Preferred)
Work Location: One location",Employer Provided Salary:$80K - $135K,-1,-1,,,,,
Bread Financial,Lead Data Scientist,Remote,"It's fun to work in a company where people truly BELIEVE in what they're doing!
Job Summary
The Data Scientist is responsible for generating data-driven insights to support enterprise data science needs within Bread Financial. In addition to these duties, the Data Scientist manages the in depth knowledge, design and innovation of market differentiators within the Data Science team.
Job Description
Essential Job Functions
Create and Design - Create machine-learning based tools or processes for data mining and data analytics. Extending company’s data with third party sources of information when needed. Translate business problems into statistical problems, develop machine learning models and/or customized analysis to support business needs.

Documentation - Follow model governance procedure that includes but not limited to saving the original model training datasets, creating model documentation, and completing tests when required or requested. Lead and complete large complex data science project end to end, document research and development process and results, develop presentations to summarize and communicate key findings to both internal and external partners.

Technology - Research state-of-art machine learning techniques to continuously improve Data Science team’s competence within the analytics industry. Experience and familiarity with data engineering tools and techniques. Use advanced analytics to assess portfolio performance, identify business opportunities, and drive critical business decisions.

Reports to: Manager, Senior Manager or Director
Working Conditions/ Physical Requirements: Normal office environment.
Direct Reports: May have direct reports

Minimum Qualifications:
Bachelor Degree in Statistics, Mathematics, Computer Science, Data Science, Engineering, Economics, or other quantitative fields
Five or more years directly related work experience to include data mining, data analytics, etc.

Preferred Experience:
Master’s Degree or PhD in Statistics, Mathematics, Computer Science, Data Science, Engineering, Economics, or other quantitative fields

Advanced machine learning modeling and/or technical expertise in developing market differentiation data science product. Experience in bank card/credit card business, consulting, retail, marketing, loyalty, and/or financial services.
#INDPROF
Disclosure of COVID-19 vaccination status will be required after acceptance of a conditional offer of employment except where prohibited by applicable law. Starting January 2022 and to the extent allowed by applicable law, the Company will require all associates who will be on-site or who will travel or interact with others in person as part of their job duties to either be fully vaccinated against COVID-19 or undergo at least weekly testing. The Company is an equal opportunity employer and will consider reasonable accommodations where required by applicable law.
About Bread Financial
At Bread Financial, you’ll have the opportunity to grow your career, give back to your community, and be a part of our award-winning culture. We’ve been consistently recognized as a best place to work in many markets and we’re proud to promote an environment where you feel appreciated, accepted, valued, and fulfilled—both personally and professionally. Bread Financial supports the overall wellness of our associates with a diverse suite of benefits and offers boundless opportunities for career development and non-traditional career progression.
Bread Financial is a tech-forward financial services company providing simple, personalized payment, lending and saving solutions. The company creates opportunities for its customers and partners through digitally-enabled choices that offer ease, empowerment, financial flexibility and exceptional customer experiences. Driven by a digital-first approach, data insights and white-label technology, Bread Financial delivers growth for its partners through a comprehensive product suite, including private label and co-brand credit cards, installment lending, and buy now, pay later (BNPL). Bread Financial also offers direct-to-consumer solutions that give customers more access, choice and freedom through its branded payment, lending and saving products.
Formerly Alliance Data, Bread Financial is an S&P MidCap 400 company headquartered in Columbus, Ohio, and committed to sustainable business practices powered by its 6,000+ global associates.
Bread Financial is a tech-forward financial services company empowering customers with simple, personalized payment, lending and saving solutions for customers and consumer-based industries in North America.

Bread Financial offers competitive pay, a comprehensive selection of benefit options including 401(k).
The Company is an Equal Opportunity Employer.
Any applicant offered employment will be required to establish that they are legally authorized to work in the United States for the Company.
The Company participates in E-Verify.
The Company will consider for employment all qualified applicants, including those with a criminal history, in a manner consistent with the requirements of all applicable federal, state, and local laws, including the Los Angeles Fair Chance Initiative for Hiring Ordinance, the San Francisco Fair Chance Ordinance, and the New York City Fair Chance Act. Applicants with criminal histories are encouraged to apply.
The Company complies with the Americans with Disabilities Act (ADA), as amended, and all applicable state/local laws. The Company will provide accommodations to applicants needing accommodations to complete the application process. Applicants with disabilities may contact the Company to request and arrange for accommodations. If you need assistance to accommodate a disability, you may request an accommodation at any time. Please contact the Recruiting Team at
TaOps@breadfinancial.com
.
Job Family:
Data and Analytics
Job Type:
Regular",-1,3.7,5001 to 10000 Employees,Company - Public,Financial Services,1996,Banking & Lending,$5 to $10 billion (USD)
Bread Financial,"Data Scientist, Credit Analytics",Remote,"It's fun to work in a company where people truly BELIEVE in what they're doing!
Job Summary
The Credit Analytics team supports Credit Management through advanced analytics and Research & Development (R&D) efforts that deliver value-adding predictive models, insights and data to underwriting, fraud, account management, and collections strategies.
Under supervision and guidance, the Data Scientist, Credit Analytics applies data science in advanced analytics such as predictive modeling and data mining in a big data environment in order to deliver predictive models and insights. The Data Scientist produces insights that encompass the different product types and channels and maintain regulatory standards. The Data Scientist assists with ensuring accurate and timely implementation of solutions, quantifying the overall financial impact to the business, and communicating results.
Job Description
Essential Job Functions

Analytics – Under supervision and guidance, completes the following: 1) extracts and samples data, conducts data integrity checks and applicable data pre-processing such as treatment of missing values and outliers, 2) conducts exploratory data analysis for preliminary data insights to drive the selection of modeling approach that best addresses the business problem, 3) reveals hidden data patterns by data mining using unsupervised learning techniques such as clustering analysis and factor analysis, 4) conducts feature engineering to create/derive model predictors with strong predictive power, 5) trains/tunes classification/regression models by applying supervised learning techniques such as generalized linear models assuming applicable underlying distributions such as logit and gamma, tree-based models such as decision trees, random forest, boosted trees, etc., and neural net models, and 6) conducts proper model test/validation, diagnoses and fixes model issues (e.g., over-fitting) when applicable. Sizes the impact of using the models in production as part of the current strategy. Presents results and business case to manager. Provides support for implementation and monitoring of solutions that are implemented.

Collaboration – Under supervision and guidance, translates analytical results into useful recommendations for review with manager. Demonstrates strong verbal and written communication skills when working with internal partners and when presenting results to various audiences. Develops foundational knowledge of credit card operations, banking, financial, loyalty rewards, retail, and credit card regulations while working with the business. Collaborates with other data scientists in the company to share best practices and data science innovations.

Data Science innovation – With direction from leader, researches industry trends in data science of new tools, emerging algorithms, advanced platforms, and alternative data to enhance modeling effectiveness and efficiency. Conducts use case testing for new tools/techniques/platforms/data and provides user input/feedback.

Model risk management - Develops foundational knowledge on common model risks and related regulatory requirements; applies proper 1st line of defense controls during model development process to minimize model risk; creates comprehensive model governance documentation and archives model data, scripts, and results; collaborates with model risk management partners to complete model validation/auditing; completes remediation as required by model governance process.

Reports to: Manager or Senior Manager, Credit Analytics – Data Science

Working Conditions/ Physical Requirements: Normal office environment

Direct Reports: None

Minimum Qualifications:
Bachelor’s Degree in Statistics, Mathematics, Engineering, Data Science, Economics, Computer Science r another quantitative field

Three or more years work experience

Preferred Experience:
Master’s Degree, PhD in Statistics, Mathematics, Engineering, Data Science, Economics, Computer Science or another quantitative field

Three or more years of Professional hands-on experience in developing statistical models/machine learning models and conducting data mining to solve business problems. Experience in extracting and processing large files/data sets. Experience interpreting model results and translating insights into business recommendations.
#INDPROF
Disclosure of COVID-19 vaccination status will be required after acceptance of a conditional offer of employment except where prohibited by applicable law. Starting January 2022 and to the extent allowed by applicable law, the Company will require all associates who will be on-site or who will travel or interact with others in person as part of their job duties to either be fully vaccinated against COVID-19 or undergo at least weekly testing. The Company is an equal opportunity employer and will consider reasonable accommodations where required by applicable law.
About Bread Financial
At Bread Financial, you’ll have the opportunity to grow your career, give back to your community, and be a part of our award-winning culture. We’ve been consistently recognized as a best place to work in many markets and we’re proud to promote an environment where you feel appreciated, accepted, valued, and fulfilled—both personally and professionally. Bread Financial supports the overall wellness of our associates with a diverse suite of benefits and offers boundless opportunities for career development and non-traditional career progression.
Bread Financial is a tech-forward financial services company providing simple, personalized payment, lending and saving solutions. The company creates opportunities for its customers and partners through digitally-enabled choices that offer ease, empowerment, financial flexibility and exceptional customer experiences. Driven by a digital-first approach, data insights and white-label technology, Bread Financial delivers growth for its partners through a comprehensive product suite, including private label and co-brand credit cards, installment lending, and buy now, pay later (BNPL). Bread Financial also offers direct-to-consumer solutions that give customers more access, choice and freedom through its branded payment, lending and saving products.
Formerly Alliance Data, Bread Financial is an S&P MidCap 400 company headquartered in Columbus, Ohio, and committed to sustainable business practices powered by its 6,000+ global associates.
Bread Financial is a tech-forward financial services company empowering customers with simple, personalized payment, lending and saving solutions for customers and consumer-based industries in North America.

Bread Financial offers competitive pay, a comprehensive selection of benefit options including 401(k).
The Company is an Equal Opportunity Employer.
Any applicant offered employment will be required to establish that they are legally authorized to work in the United States for the Company.
The Company participates in E-Verify.
The Company will consider for employment all qualified applicants, including those with a criminal history, in a manner consistent with the requirements of all applicable federal, state, and local laws, including the Los Angeles Fair Chance Initiative for Hiring Ordinance, the San Francisco Fair Chance Ordinance, and the New York City Fair Chance Act. Applicants with criminal histories are encouraged to apply.
The Company complies with the Americans with Disabilities Act (ADA), as amended, and all applicable state/local laws. The Company will provide accommodations to applicants needing accommodations to complete the application process. Applicants with disabilities may contact the Company to request and arrange for accommodations. If you need assistance to accommodate a disability, you may request an accommodation at any time. Please contact the Recruiting Team at
TaOps@breadfinancial.com
.
Job Family:
Data and Analytics
Job Type:
Regular",-1,3.7,5001 to 10000 Employees,Company - Public,Financial Services,1996,Banking & Lending,$5 to $10 billion (USD)
Cyient,Data Scientist,"Phoenix, AZ","About the Role:
The position creates new footprint for data-driven innovation and value for our customers and prospects while providing analytical capabilities. You would be part of core team that would help design and develop advanced analytics solutions across functional areas as per client requirement/opportunities. Key requirements include an ability to communicate complex quantitative analysis with a lucid, precise, clear and actionable insight. You should be experienced in solving analytical problems using quantitative approaches. You would also invest your time in developing new practices and methodologies using statistical methods, machine learning and predictive models under mentorship from experts across industry.
You will:
Identify and manage the analysis and interpretation of clients' internal and external data to drive decision making.
Query databases and perform statistical, mathematical analysis
Work directly with customer teams to help design and generation of reporting frameworks that provide insight to the performance of clients’ business programs.
Create re-usable implementations of statistical tests and models (R, Python, SAS, SPSS etc.) using the available technologies.
Assist in customer engagement management, project scoping, timeline management, and results documentation to ensure professional relationship management.
You have:
Must have sound understanding of industrial systems particularly in design, manufacturing, test, operations, supply chain, aftermarket and MRO.
Must be strong on learning methods, data analytics, R/Python and Tableau.
Good in algorithm development with programming languages.
Must have strong understanding of statistics and machine learning.
Prior experience in R or Python and data analytics is preferred.
Education:
MS/PhD in Mechanical, Electrical, Computer Science or Aerospace Engineering from an accredited school with focus on Image/Signal processing and Computer Vision
Applicable experience
Cyient_indeed
Job Type: Full-time
Schedule:
Monday to Friday
Work Location:
One location
Company's website:
www.cyient.com
Work Remotely:
Temporarily due to COVID-19
COVID-19 Precaution(s):
Remote interview process
Personal protective equipment provided or required
Plastic shield at work stations
Temperature screenings
Social distancing guidelines in place
Virtual meetings
Sanitizing, disinfecting, or cleaning procedures in place
Work Location: One location",$66K - $129K (Glassdoor est.),3.5,10000+ Employees,Company - Public,Information Technology,1991,Information Technology Support Services,$100 to $500 million (USD)
Crescent Bank,Data Scientist,"Carrollton, TX","About the Position:
Crescent Bank is looking for a Data Scientist who will build models and analyses that lead to a better understanding of how our business performs.

The person in this role will be expected to identify and implement potential solutions that will drive overall performance and profitability of the company. This will include creating analytical frameworks to evaluate solutions to various risks and opportunities related to the business. The person in this role will also be expected to monitor performance of specific business areas and related testing and draw insights for improvement opportunities. In addition, the person in the role will be expected to use analytical techniques to ground the value of different solutions.

What we are looking for:
To find success in this role, a candidate should have a related Bachelor’s degree and related experience. Experience with statistical models and analytical work will also lead to success as well as knowledge of data mining tools such as SQL, SAS, R, and Python.

About Crescent Bank:
Crescent Bank began in 1991 as a small New Orleans based community bank. Today, Crescent Bank has a presence nation-wide and is on a mission to leverage technology to provide auto lending and savings access to consumers who may not be served by other traditional banking products.

Crescent Bank prioritizes employee growth and advancement- both as employees and as individuals- through our core values and through the benefits we offer.

Our Core Values include: Be a Team Player, Continuously Improve, Do the Right Thing, Put the Customer First, & Take Ownership

We are proud to offer the following key benefits:
Workplace flexibility for eligible positions
All the insurance programs you’d expect- health, dental, vision, life, disability, + more
Multiple types of paid time off
Retirement program with company contribution
Paid parental Leave
Award-winning Wellness programs
Tuition Reimbursement
Payroll on Demand- access your pay when you need it most.
Learn more about life at Crescent Bank here: Crescent Bank Profile

Additional Information:
Bachelor’s degree in a major with an analytical focus; examples include Engineering, Science, Mathematics, Finance, and Economics.
Knowledge of data mining tools such as SQL, SAS, R and Python
Analytical and model development skills.
Truth seeker / intellectual curiosity
Key Skills: results focused, effective communication, attention to detail, relationship builder,
Equal Opportunity Employer/Veterans/Disabled",$73K - $149K (Glassdoor est.),2.9,-1,Banking & Lending,$50 to $100 million (USD),Company - Private,Financial Services,
Victory Advisory Firm,Data Scientist,"Newport Beach, CA","We are looking for a candidate to work directly with our CEO . . . to join our inner circle. We are looking for someone that wants to FIGURE IT OUT. This is not a job for someone who requires directions. There is a ton of data that we need mined, organized and analyzed. Each day there is a new puzzle to solve. We need someone that wants to solve our puzzles.
Whether you have 1 year of experience or 21 years of experience, it takes a special type of person to think high-level, see the big picture, and possess the ability to dive into details and build systems. This is the type of person we are looking for.
That said, this is a technical position and a complicated role that requires certain pre-requisite skills.
Strong problem-solving skills with an emphasis on product development.
Coding knowledge and experience querying data sources using statistical computer languages both from internal data and 3rd party providers.
Experience working with and creating data architectures.
Knowledge of advanced statistical techniques and concepts.
Experience visualizing/presenting data for stakeholders.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
At Victory Advisory Firm, we are hands-on operators with a proven track record of success. We pride ourselves on being a fast-paced, decisive company, with a “can-do” attitude. We bring expertise, resources, and laser-focused clarity to entrepreneurs allowing them to be passionate and visionary leaders in their own businesses. If you can lead others, make calculated, risk-oriented decisions, and accept responsibility for driving results, JOIN OUR INNER CIRCLE and apply for this job.
Please note this application will not be considered ""Completed"" until you follow this link:
https://go.apply.ci/p/HOXOV5brW8RJuA
Job Type: Full-time
Pay: $100,000.00 - $120,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Life insurance
Paid time off
Parental leave
Professional development assistance
Vision insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Ability to commute/relocate:
Newport Beach, CA 92663: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
Do you have a degree in Applied Math or Computer Science?
Do you live in Orange County, California
Experience:
Data analytics: 3 years (Preferred)
Work Location: One location",Employer Provided Salary:$100K - $120K,-1,-1,,,,,
"Davidson Technologies, Inc.",Data Scientist,"Huntsville, AL","Davidson is seeking a Data Scientist in Huntsville, AL.
This position is an integral part of a fast-paced, innovative research and development (R&D) program for the US Air Force’s (USAF) Advanced Battle Management System (ABMS) involving the creation of advanced M&S and AI for wired and wireless communications across all 5 warfare domains (land, sea, air, space, and cyberspace). The program works cross-functionally with innovative team members skilled in High-Performance Computing (HPC), Modeling & Simulations (M&S), Artificial Intelligence (AI)/Data Analytics, and Cybersecurity.
The qualified candidate should be able to:
Experiment with innovative theories, ideas, and concepts to expand the realm of the possible
Self-organize and participate in an agile development lifecycle
Ask questions and build consensus within a cross-functional team
Provide design inputs and collaborate to decompose, estimate, and refine backlog requirements
Communicate and collaborate through verbal and visual methods (to include diagraming, whiteboarding, 1-pagers, etc…)
Candidate will serve as Data Scientist for a team of data and AI experts working in the R&D space
Primary responsibilities include design, implementation, and governance of data for development of operational AI
Candidate will educate, collaborate, influence, and guide development of innovative AI and data analytics solutions for battle management, C2, and asset tasking
Will work closely with AI, algorithm, analysis, and data experts leveraging structured, semi-structured, and unstructured data sources to develop solutions in synch with a larger system and software architecture
Requirements:
BS or MS in Computer Science, Mathematics, Statistics, Data Science, or related 10+ years of relevant experience (6+ years with MS)
Experience working with team focused on deep analytics and machine learning techniques (artificial neural networks, clustering, decision tree learning)
Broad knowledge of big data infrastructure, data mining, machine learning and statistics
Extensive knowledge of predictive modeling algorithms and frameworks
Experience with large structured, semi-structured, and unstructured datasets
Ability to lead in a collaborative, fast paced, Agile environment that encourages rapid experimentation, prototyping, failing forward, adaptation, and applying lessons learned to solve complex problems
Desired Competencies/Experience/Certifications:
PhD in Computer Science, Mathematics, Statistics, Data Science, or related 2+ years of relevant experience
Experience across the entire data pipeline (extraction, cleaning, normalizing, inference, analysis, visualization)
Extensive knowledge of prescriptive modeling algorithms and frameworks
Familiarity with Python, R, Java, MATLAB, Scal, C++, SQL
Experience working in a virtualized environment
Understanding of Open Mission Systems (OMS)/ Universal Command and Control Interface (UCI)
Clearance Requirements:
Currently holds or able to obtain Top Secret-SCI Clearance
Job Type: Full-time
Pay: $100,000.00 - $200,000.00 per year
Schedule:
8 hour shift
Education:
Master's (Preferred)
Experience:
Data Science: 10 years (Required)
Work Location: One location",Employer Provided Salary:$100K - $200K,4.2,201 to 500 Employees,Company - Private,Manufacturing,1996,Transportation Equipment Manufacturing,$25 to $50 million (USD)
Gradient AI,Staff Data Scientist,"Boston, MA","Role:
If you want to work on cutting edge technology with friendly, intelligent people in a highly collaborative environment, then Gradient AI is the right place for you. We are looking for talented Data Scientists that will help define how our claims and underwriting products evolve for the insurance industry. You'll do this through user research, rapidly prototyping new features, implementing machine learning systems, and delivering our customers actionable intelligence from large data sets.
Gradient AI:
Gradient AI is a fast-growing startup, bringing state-of-the-art Artificial Intelligence (AI) and Machine Learning (ML) solutions to the trillion-dollar insurance industry. Founded in 2018, we have recently raised $20M from top Insurtech investors to continue fueling our growth. Our software-as-a-service platform provides bias-free, data-driven insights, enabling insurance companies to profitably run their business and expand their offerings to underserved people and markets.
Responsibilities:
Mine and analyze data pertaining to customers’ business experience to discover critical business insights
Utilize Python and libraries such as Pandas, NumPy, and PyTorch to create new models and tune pre-existing ones
Synthesize research data, turning data to actionable insights, and specific model requirements
Quickly deploy out-of the-box solutions where possible and innovate when necessary
Work closely with engineers and production developers to ensure clear, effective communication within the team
Stay current with advancements in Machine Learning and advocate for the appropriate application of those advancements in our own products
Qualifications:
MS/PhD; 5+ years of professional working experience
Experience building and productionizing Machine Learning models (Neural Networks, Random Forest, etc.)
Experience in Python scripting and libraries such as Pandas, NumPy and Pytorch
Fluency in SQL and/or PostgreSQL
Experience working with insurance data or building insurance models is a plus
What We Offer:
A fun, team-oriented startup culture.
Generous stock options - we all get to own a piece of what we’re building.
Unlimited vacation days.
Flexible schedule that supports working from home.
Full benefits package including medical, dental, vision, 401k, and more.
Ample opportunities to learn and take on new responsibilities.
We are an equal opportunity employer.
Job Type: Full-time
Pay: $130,000.00 - $185,000.00 per year
Benefits:
401(k)
Dental insurance
Employee discount
Flexible schedule
Flexible spending account
Health insurance
Health savings account
Paid time off
Vision insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Experience:
productionizing models: 3 years (Required)
Work Location: One location",Employer Provided Salary:$130K - $185K,4.7,51 to 200 Employees,Company - Private,Information Technology,2018,Enterprise Software & Network Solutions,Unknown / Non-Applicable
The Home Depot,"Data Scientist, Marketing & Online (Remote)","Atlanta, GA","The Home Depot is able to offer virtual employment of this position in the following states: AL, AK, AZ, AR, DE, DC, FL, GA, HI, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI, WY

Position Purpose:
The Data Scientist is responsible for supporting data science initiatives that drive business profitability, increased efficiencies and improved customer experience. This role applies industry-leading analytical methodologies for working with large datasets to extract meaningful business insight and creatively solve business problems. Data Scientists are also responsible for ensuring that developed codes are documented into a library of reusable algorithms. Based on the specific data science team, this role would need to be knowledgeable in one or more data science specializations, such as optimization, computer vision, recommendation, search or NLP.

As a Data Scientist, you will apply advanced analytics methods and algorithms for identifying trends and providing business solutions. This role is expected to present insights and recommendations to non-technical audiences and explain the benefits and impacts of the recommended solutions. In addition, Data Scientists collaborate with business partners and cross-functional teams, requiring effective communication skills, building relationships, and focus on understanding the overall business area being supported.

Major Tasks, Responsibilities & Key Accountabilities:
55% Solution Development - Design and develop algorithms and models to use against large datasets to create business insights; Participates in large data analytics project teams by serving as a technical lead for analytics projects; May lead small projects and work independently on solution development; Execute tasks with high levels of efficiency and quality; Make appropriate selection, utilization and interpretation of advanced analytical methodologies
20% Communicating Results - Effectively communicate insights and recommendations to both technical and non-technical leaders and business customers/partners; Present recommendations in a confident manner in order to influence execution of recommendation; Prepare reports, updates and/or presentations related to progress made on a project or solution; Clearly communicate impacts of recommendations to drive alignment and appropriate implementation
10% Business Collaboration - Incorporate business knowledge into solution approach; Effectively develop trust and collaboration with internal customers and cross-functional teams; Work with project teams and business partners to determine project goals
15% Technical Exploration & Development - Seek further knowledge on key developments within data science, technical skill sets, and additional data sources; Participate in the continuous improvement of data science and analytics by developing replicable solutions (for example, codified data products, project documentation, process flowcharts) to ensure solutions are leveraged for future projects; Build and maintain library of reusable algorithms for future use, ensuring developed codes are documented

Nature and Scope:
This position typically reports to Manager or above

This position has 0 Direct Reports

Environmental Job Requirements:
Environment:
1. Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.
Travel:
Typically requires overnight travel less than 10% of the time.

Additional Environmental Job Requirements:
Standard Minimum Qualifications:
Must be eighteen years of age or older.
Must be legally permitted to work in the United States.

Additional Minimum Qualifications:

Education Required:
The knowledge, skills and abilities typically acquired through the completion of a bachelor's degree program or equivalent degree in a field of study related to the job.

Years of Relevant Work Experience:
3 years

Certifications & Licenses:

Physical Requirements:
Most of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles.

Additional Qualifications:
Demonstrated experience in predictive modeling, data mining and data analysis

Preferred Qualifications:
Masters in a quantitative field (Computer Science, Math, Statistics, etc.) or equivalent work experience
4+ years of experience in business intelligence and analytics
Working knowledge of Microsoft Excel and Power Point
Experience in a modern scripting language (preferably Python)
Proficient running queries against data (preferably with Google BigQuery or SQL)
Proficient with data visualization software (preferably Tableau)
Proficient utilizing statistical techniques to identify key insights that help solve business problems
Knowledgeable in Prescriptive Modeling like optimization, computer vision, recommendation, search or NLP

Knowledge, Skills, Abilities and Competencies:
Action Oriented: Taking on new opportunities and tough challenges with a sense of urgency, high energy, and enthusiasm
Business Insight: Applying knowledge of the business and the marketplace to advance the organization's goals
Collaborates: Building partnerships and working collaboratively with others to meet shared objectives
Communicates Effectively: Developing and delivering multi-mode communications that convey a clear understanding of the unique needs of different audiences
Customer Focus: Building strong customer relationships and delivering customer-centric solutions
Drives Results: Consistently achieving results, even under tough circumstances
Nimble Learning: Actively learning through experimentation when tackling new problems, using both successes and failures as learning fodder
Optimizes Work Processes: Knowing the most efficient and effective processes to get things done, with a focus on continuous improvement
Plans and Aligns: Planning and prioritizing work to meet commitments aligned with organizational goals
Self-Development: Actively seeking new ways to grow and be challenged using both formal and informal development channels

Pay Rate: -",$47K - $117K (Glassdoor est.),3.8,10000+ Employees,Company - Public,Retail & Wholesale,1978,Home Furniture & Housewares Stores,$10+ billion (USD)
